ticker,decision,listing_status,manual_include,manual_exclude,manual_review,reason_codes,notes,effective_date
GLPG,remove,inactive,,true,,inactive_ticker;manual_exclude,User confirmed ticker is delisted/no longer active on 2026-05-09; remove from active scoring universe.,
GRAL,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
GYRE,review,active,true,false,true,manual_include;manual_review;research_only_low_liquidity,Active biotech issuer retained for scoring and research; isolated intake screen measured median ADDV below the hard universe threshold.,2026-08-21
HAE,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
HOTH,remove,ticker_changed_non_biotech_pivot,,true,,ticker_changed;non_biotech_pivot;manual_exclude,Hoth Therapeutics changed identity/ticker to RKTO/Rocket One Inc. after a strategic pivot into AI semiconductor hardware effective 2026-05-28; exclude from active biotech scoring universe rather than carrying stale HOTH prices.,
IMUX,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
INO,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
JBIO,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
JSPR,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
KALV,remove,acquired_delisted_non_public,,true,,acquired_delisted_non_public;manual_exclude,Acquired by Chiesi and Nasdaq trading suspended before market open on 2026-06-11; exclude from active public biotech scoring universe.,
KARD,review,active,true,false,true,manual_include;manual_review;new_ticker_financial_risk_review,Newly onboarded issuer retained for scoring and research; allocation remains blocked pending resolution of conflicting going-concern evidence.,2026-08-21
KLRA,review,active,true,false,true,manual_include;manual_review;new_ticker_ctgov_link_pending,Newly onboarded issuer retained for scoring and research; allocation remains blocked pending CTGov entity/link review.,2026-08-21
KYNB,review,active_financial_status_D,true,false,true,manual_include;manual_review;research_only_listing_deficiency,Active biotech issuer retained for scoring and research; Nasdaq financial status D and low liquidity block allocation until remediated.,2026-08-22
KZR,remove,acquired_delisted_non_public,,true,,acquired_delisted_non_public;manual_exclude,Kezar Life Sciences was acquired by Aurinia Pharmaceuticals and Nasdaq trading was suspended on 2026-05-12; exclude from active public biotech scoring universe.,
LBRX,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
LH,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
LIVN,remove,active,,true,false,manual_exclude;removed_from_biotech_pipeline;manual_review_resolved,User confirmed this ticker should be removed from the biotech review list on 2026-06-26; exclude from active biotech scoring universe.,
LIXT,remove,ticker_changed_non_biotech_pivot,,true,false,ticker_changed;non_biotech_pivot;manual_exclude,LIXT ceased trading after 2026-07-02 and changed to NMAD effective 2026-07-06 following the NOMAD Power Solutions merger; do not retain the non-biotech successor in biotech scoring.,2026-07-06
LTGO,review,active,true,false,true,manual_include;manual_review;research_only_going_concern,Active recent IPO retained for scoring and research; confirmed going-concern evidence remains a structural allocation control.,2026-08-21
MANE,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
MNPR,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
NBIX,keep,active,true,,false,manual_include;user_requested_addition;manual_review_resolved,User requested addition with market SEC CTGov and Form 4 coverage on 2026-05-21. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
NNOX,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
NTRA,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
NUVL,remove,acquired_delisted_non_public,,true,false,acquired_delisted_non_public;manual_exclude,GSK completed its $124-per-share cash acquisition of Nuvalent on 2026-07-15; retain NUVL in historical snapshots only through 2026-07-14.,2026-07-15
NVCR,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;medical_device_ttf_platform,NovoCure is a Tumor Treating Fields medical-device platform company; remove from biotech drug-development scoring universe.,
OBX,review,active,true,false,true,manual_include;manual_review;research_only_low_liquidity,Active biotech issuer retained for scoring and research; isolated intake screen measured median ADDV below the hard universe threshold.,2026-08-21
ODTX,review,active,true,false,true,manual_include;manual_review;research_only_going_concern_recapitalization,Active recent IPO retained for scoring and research; going-concern and pre-IPO reverse-split evidence remain structural allocation controls.,2026-08-21
PALI,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
PASG,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
PBLS,review,active,true,false,true,manual_include;manual_review;research_only_recent_ipo_recapitalization,Active recent IPO retained for scoring and research; pre-IPO reverse-split evidence remains a review flag until sufficient public history accrues.,2026-08-21
PRTC,remove,adr_delisted,,true,,adr_delisted;manual_exclude,PureTech Health plc Nasdaq ADR ticker PRTC was delisted/retired; do not confuse with active Procept BioRobotics ticker PRCT.,
QDEL,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
QSI,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
QTTB,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
RCKT,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
RIGL,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
RPRX,review,active,true,false,true,manual_include;manual_review;new_ticker_ctgov_link_pending,Newly onboarded issuer retained for scoring and research; allocation remains blocked pending CTGov entity/link review.,2026-08-21
RXST,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
SABS,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
SCTX,review,active,true,false,true,manual_include;manual_review;research_only_going_concern,Active recent IPO retained for scoring and research; confirmed going-concern evidence remains a structural allocation control.,2026-08-21
SIBN,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;medical_device_implants,SI-BONE is a pure-play medical-device implant company; remove from biotech drug-development scoring universe.,
SMMT,review,active,true,false,true,manual_include;manual_review;research_only_going_concern,Active biotech issuer retained for scoring and research; confirmed going-concern evidence remains a structural allocation veto.,2026-08-21
SLNO,remove,acquired_delisted,,true,,manual_exclude;acquired_delisted_non_public,Acquired by Neurocrine and delisted from Nasdaq on 2026-05-18; remove from active biotech scoring universe.,
SNSE,remove,ticker_changed,,true,,ticker_changed;manual_exclude,Sensei Biotherapeutics changed control/name to Faeth Therapeutics and changed ticker to FTH effective 2026-06-16; exclude stale SNSE from active biotech scoring universe.,
SPTX,review,active,true,false,true,manual_include;manual_review;research_only_recent_ipo_recapitalization,Active recent IPO retained for scoring and research; pre-IPO reverse-split evidence remains a review flag until sufficient public history accrues.,2026-08-21
SRZN,review,active,true,false,true,manual_include;manual_review;new_ticker_ctgov_link_pending,Newly onboarded issuer retained for scoring and research; allocation remains blocked pending CTGov entity/link review.,2026-08-21
STIM,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
SXTP,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
SYK,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
TERN,remove,inactive,,true,,inactive_ticker;manual_exclude,User confirmed ticker is delisted/no longer active on 2026-05-09; remove from active scoring universe.,
TMCI,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
TNDM,remove,active,,true,,manual_exclude;removed_from_biotech_pipeline;non_biotech_therapeutics,User confirmed ticker should be removed from the biotech pipeline and not added to medical devices on 2026-05-27.,
TOVX,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
TRAX,review,active,true,false,true,manual_include;manual_review;new_ticker_ctgov_link_pending,Newly onboarded issuer retained for scoring and research; allocation remains blocked pending CTGov entity/link review.,2026-08-21
VOGX,review,active,true,false,true,manual_include;manual_review;new_ticker_financial_risk_review,Newly onboarded recent IPO retained for scoring and research; allocation remains blocked pending going-concern and recapitalization review.,2026-08-21
VSTM,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
ZBIO,keep,active,true,,false,batch_44_active_review;manual_reactivation_review;manual_review_resolved,Controlled 44-ticker full-pipeline validation as of 2026-04-26. User confirmed this ticker should remain in Biotech on 2026-06-26; manual review cleared.,
GKOS,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
CERS,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
TCMD,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
RCEL,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
BBNX,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
CBLL,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
PSNL,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
MYGN,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
CDNA,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
NEO,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
VCYT,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
BSX,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
BVS,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
CNMD,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
EW,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
IART,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
MDT,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
PODD,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
PRCT,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
STE,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
TMDX,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
ZBH,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
IQV,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
TMO,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
MDXG,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
ORGO,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
CAI,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
LNTH,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
ANIK,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
TECH,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
TIL,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
AKTS,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
APTX,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
HGEN,remove,,false,true,false,manual_exclude;removed_from_biotech_active_universe;user_approved_remove_from_active_biotech_universe_20260830,"User approved removal from the active biotech universe effective 2026-08-31. Historical PIT membership, prices, features, and calibration observations remain preserved.",2026-08-31
