ticker,manual_verdict,manual_root_cause,manual_verified_active_study,manual_verified_nct,manual_verified_status,manual_verified_phase,manual_verified_study_type,manual_lead_vs_collab,manual_notes,manual_reviewer,manual_verified_date
BHVN,manual_keep,sponsor_alias_missing,true,NCT06132893,active_verified,Phase 2/Phase 3,interventional,lead_sponsor,Biohaven active BHV-7000/BHV-1300/BHV-1530 CTGov evidence validated locally; keep for scoring.,Codex,2026-05-27
BIOA,manual_keep,true_historical_only,false,NCT06141889,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
CAI,manual_keep,true_historical_only,false,NCT03834220,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
CDNA,manual_keep,collaborator_only_not_lead,true,NCT05060991,active_collaborator_confirmed,active,interventional,collaborator,Active molecular-diagnostics collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
CDXS,manual_keep,true_historical_only,false,NCT05082051,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
CING,manual_keep,true_historical_only,false,NCT05924594,suspended_or_completed_program,Phase 3,interventional,regulatory_watchlist,Cingulate CTx-1301 trial evidence is not active locally but ticker has near-term regulatory/commercial-stage relevance; keep with data-quality penalty.,Codex,2026-05-27
COLL,manual_keep,true_historical_only,false,NCT01685684,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only after false Collegium Medicum matches were excluded; keep scored with no-active-trial penalty.,Codex,2026-05-28
CRNX,manual_keep,sponsor_alias_missing,true,NCT07159841,active_verified,Phase 2/Phase 3,interventional,lead_sponsor,Crinetics active endocrine trials validated locally; keep for scoring.,Codex,2026-05-27
CRVO,manual_keep,sponsor_alias_missing,true,NCT07033481,active_verified,Phase 2,interventional,program_owner,CervoMed neflamapimod studies are user-verified active program evidence under EIP Pharma/CervoMed sponsor lineage; keep for scoring.,Codex,2026-06-26
CTNM,manual_keep,sponsor_alias_missing,true,NCT07284459,active_verified,Phase 2,interventional,lead_sponsor,Contineum PIPE-791 active IPF trial validated locally; keep for scoring.,Codex,2026-05-27
CUE,manual_keep,true_historical_only,false,,research_only_structural_risk,,,historical_only,Cue remains scoreable for research with no-active-trial and structural-risk penalties; going-concern and reverse-split findings continue to block allocation.,Codex,2026-08-22
DFTX,manual_keep,sponsor_alias_missing,true,NCT07592689,active_verified,Phase 3,interventional,lead_sponsor,Definium DT120/DT402 active CNS trials validated locally; keep for scoring.,Codex,2026-05-27
DMRA,manual_keep,entity_mapping_issue,false,,ctgov_link_pending,,,program_owner,Early-clinical company retained for scored research; active-trial linkage remains under review.,Codex,2026-08-21
EDSA,manual_keep,collaborator_only_not_lead,true,NCT06701669,active_program_owner,Phase 2,interventional,program_owner,Edesa paridiprubart/EB05 active ARDS platform trial is collaborator/program-owner evidence; keep for scoring.,Codex,2026-05-27
ENOV,manual_keep,collaborator_only_not_lead,true,NCT07520721,active_collaborator_confirmed,active,interventional,collaborator,Active device collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
EOLS,manual_keep,collaborator_only_not_lead,true,NCT06903975,active_collaborator_confirmed,active,interventional,collaborator,Active therapeutic-supply collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
EQ,manual_keep,true_historical_only,false,NCT03763318,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
ESPR,manual_keep,active_but_nonqualifying_observational,false,NCT06021951,commercial_stage_nonqualifying_ctgov,N/A,observational,commercial_anchor,Esperion is commercial-stage cardiovascular therapeutics; active CTGov evidence is nonqualifying but issuer should remain scored with penalties.,Codex,2026-05-27
ETON,manual_keep,true_historical_only,false,,commercial_stage_no_current_ctgov,N/A,,commercial_anchor,Commercial-stage issuer retained for scoring without requiring a current sponsor-led CTGov study.,Codex,2026-08-21
EYPT,manual_keep,sponsor_alias_missing,true,NCT07449923,active_verified,Phase 3,interventional,lead_sponsor,EyePoint EYP-1901 active Phase 3 ocular trials validated locally; keep for scoring.,Codex,2026-05-27
FDMT,manual_keep,sponsor_alias_missing,true,NCT07064759,active_verified,Phase 3,interventional,lead_sponsor,4D Molecular 4D-150/4D-310 active gene-therapy trials validated locally; keep for scoring.,Codex,2026-05-27
GALT,manual_keep,status_stale_on_ctgov,false,NCT04365868,terminated_recent_catalyst,Phase 2/Phase 3,interventional,lead_sponsor,Galectin belapectin NAVIGATE is CTGov-terminated; keep mapped as non-active clinical milestone evidence but do not count as active trial support.,Codex,2026-06-26
GYRE,manual_keep,entity_mapping_issue,false,,ctgov_link_pending,,,program_owner,Commercial-turnaround issuer retained for scored research; F351/hydronidone linkage remains under review.,Codex,2026-08-21
HRMY,manual_keep,sponsor_alias_missing,true,NCT07500090,active_verified,Phase 3,interventional,lead_sponsor,Harmony active HBS-301/pitolisant and acquired Epygenix program trials validated locally; keep for scoring.,Codex,2026-05-27
HRTX,manual_keep,true_historical_only,false,NCT05109312,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
IART,manual_keep,collaborator_only_not_lead,true,NCT05842057,active_collaborator_confirmed,active,interventional,collaborator,Active implant/allograft collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
IMTX,manual_keep,sponsor_alias_missing,true,NCT06743126,active_verified,Phase 3,interventional,lead_sponsor,Immatics active IMA203/IMA402 TCR trials validated locally; keep for scoring.,Codex,2026-05-27
IMVT,manual_keep,sponsor_alias_missing,true,NCT07039916,active_verified,Phase 3,interventional,lead_sponsor,Immunovant active IMVT-1402/imeroprubart autoimmune trials validated locally; keep for scoring.,Codex,2026-05-27
INDV,manual_keep,true_historical_only,false,NCT04995029,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
INKT,manual_keep,true_historical_only,false,NCT04582201,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
INMB,manual_keep,status_stale_on_ctgov,false,NCT05318976,completed_recent_catalyst,Phase 2,interventional,lead_sponsor,INmune XPro1595 Phase 2 Alzheimer study is CTGov-completed with recent 2026 catalyst context; keep as non-active clinical milestone evidence.,Codex,2026-06-26
INVA,manual_keep,sponsor_alias_missing,true,NCT06801223,active_verified,Phase 1,interventional,lead_sponsor,Innoviva active sulbactam-durlobactam infectious-disease trial validated locally; keep for scoring.,Codex,2026-05-27
IQV,manual_keep,true_historical_only,false,NCT02846753,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
IRWD,manual_keep,active_but_nonqualifying_device,false,NCT05796388,commercial_stage_nonqualifying_ctgov,N/A,nonqualifying,commercial_anchor,"Ironwood is commercial-stage GI therapeutics; local active CTGov evidence is nonqualifying, so keep for scoring with CTGov penalty.",Codex,2026-05-27
IVA,manual_keep,sponsor_alias_missing,true,NCT04849728,active_verified,Phase 3,interventional,lead_sponsor,Inventiva lanifibranor NATiV3 active-not-recruiting Phase 3 trial validated locally; keep for scoring.,Codex,2026-05-27
KLRA,manual_keep,entity_mapping_issue,false,,ctgov_link_pending,,,program_owner,Late-clinical issuer retained for scored research; sponsor/program aliases remain under review.,Codex,2026-08-21
KRRO,manual_keep,true_historical_only,false,NCT06677307,terminated_program_evidence,Phase 1/Phase 2,interventional,lead_sponsor,Korro is an active preclinical RNA-editing platform issuer; KRRO-110 is terminated and must not count as active trial support.,Codex,2026-08-22
KYNB,manual_keep,true_historical_only,false,,historical_program_only,,,historical_only,Kyntra remains scoreable for research with no-active-trial penalties; Nasdaq financial status D blocks allocation until status returns clean.,Codex,2026-08-22
LENZ,manual_keep,true_historical_only,false,NCT05656027,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
LGND,manual_keep,true_historical_only,false,NCT00211198,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
LNTH,manual_keep,sponsor_alias_missing,true,NCT07357519,active_verified,Phase 1/Phase 2,interventional,lead_sponsor,Lantheus active radiotherapeutic/radiopharma trial evidence validated locally; keep as therapeutic hybrid for scoring.,Codex,2026-05-28
LPCN,manual_keep,status_stale_on_ctgov,false,NCT04874350,completed_recent_catalyst,Phase 2,interventional,lead_sponsor,Lipocine clinical/regulatory milestone evidence is CTGov-completed; keep as non-active catalyst evidence.,Codex,2026-06-26
LQDA,manual_keep,sponsor_alias_missing,true,NCT07285655,active_verified,Phase 3,interventional,lead_sponsor,Liquidia active L606/PAH Phase 3 trial validated locally; keep for scoring.,Codex,2026-05-27
LSTA,manual_keep,status_stale_on_ctgov,false,NCT05712356,terminated_recent_catalyst,Phase 2,interventional,lead_sponsor,Lisata LSTA1 BOLSTER oncology study is CTGov-terminated with recent 2026 data-analysis context; keep as non-active milestone evidence.,Codex,2026-06-26
MIST,manual_keep,sponsor_alias_missing,true,NCT05763953,active_verified,Phase 2,interventional,lead_sponsor,Milestone active etripamil pediatric trial validated locally; keep for scoring.,Codex,2026-05-27
MYGN,manual_keep,collaborator_only_not_lead,true,NCT02655016,active_collaborator_confirmed,active,interventional,collaborator,Active molecular-diagnostics collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
NEO,manual_keep,entity_mapping_issue,false,NCT05414032,collaborator_only_active,active,interventional,collaborator,NeoGenomics has active collaborator-only oncology diagnostics evidence; prior NCT05221086 manual mapping was rejected as a non-company chronic-neck-pain questionnaire study.,Codex,2026-05-28
NGEN,manual_keep,status_stale_on_ctgov,false,NCT05965700,completed_recent_catalyst,Phase 1/Phase 2,interventional,lead_sponsor,NervGen NVG-291 Connect SCI study is CTGov-completed with recent 2026 clinical context; keep as non-active milestone evidence.,Codex,2026-06-26
PHVS,manual_keep,sponsor_alias_missing,true,NCT06679881,active_verified,Phase 3,interventional,lead_sponsor,Pharvaris active deucrictibant HAE Phase 3 trials validated locally; keep for scoring.,Codex,2026-05-27
PODD,manual_keep,collaborator_only_not_lead,true,NCT07423637,active_collaborator_confirmed,active,interventional,collaborator,Active device collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
PRCT,manual_keep,collaborator_only_not_lead,true,NCT05157529,active_collaborator_confirmed,active,interventional,collaborator,Active robotic-device collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
PSNL,manual_keep,collaborator_only_not_lead,true,NCT05197322,active_collaborator_confirmed,active,interventional,collaborator,Active molecular-diagnostics collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
PYPD,manual_keep,status_stale_on_ctgov,false,NCT04411199,regulatory_milestone,Phase 3,interventional,lead_sponsor,PolyPid D-PLEX SHIELD II Phase 3 record is CTGov-completed and is the corrected local NCT for PYPD; NCT04013685 was rejected as wrong issuer.,Codex,2026-06-26
QURE,manual_keep,sponsor_alias_missing,true,NCT06063850,active_verified,Phase 1/Phase 2,interventional,lead_sponsor,uniQure active AMT-260/AMT-130/AMT-191 gene-therapy trials validated locally under UniQure Biopharma B.V.; keep for scoring.,Codex,2026-05-28
RARE,manual_keep,sponsor_alias_missing,true,NCT06617429,active_verified,Phase 3,interventional,lead_sponsor,Ultragenyx active rare-disease and gene-therapy trials validated locally; keep for scoring.,Codex,2026-05-28
RLYB,manual_keep,status_stale_on_ctgov,false,NCT06435845,terminated_recent_catalyst,Phase 2,interventional,lead_sponsor,Rallybio RLYB212 Phase 2 study is CTGov-terminated; keep mapped as non-active program evidence but do not count as active trial support.,Codex,2026-06-26
RPRX,manual_keep,true_historical_only,false,,royalty_economics_no_sponsor_ctgov,N/A,,commercial_anchor,Royalty-economics issuer retained for scoring; it is not expected to sponsor portfolio-company trials directly.,Codex,2026-08-21
RXRX,manual_keep,sponsor_alias_missing,true,NCT05552755,active_verified,Phase 1/Phase 2,interventional,lead_sponsor,Recursion active REC-4881/REC-1245 trials validated locally; keep for scoring.,Codex,2026-05-27
SCTX,manual_keep,collaborator_only_not_lead,true,NCT07428473,RECRUITING,PHASE1,INTERVENTIONAL,collaborator,Scribe collaborator role and STX-1150 active study verified in the current local CTGov snapshot.,Codex,2026-08-21
SGMT,manual_keep,sponsor_alias_missing,true,NCT06989840,active_verified,Phase 1,interventional,lead_sponsor,Sagimet active FASN inhibitor trial evidence validated locally; keep for scoring while Phase 3 denifanstat status is reviewed.,Codex,2026-05-27
SIBN,manual_remove,active_but_nonqualifying_device,false,NCT03932006,post_market_device_confirmed,post_market,interventional,device_post_market,SI-BONE post-market device registry evidence confirmed; removed from biotech scoring as a pure-play medical-device implant company. Do not count as active biotech trial evidence.,Codex,2026-05-28
SPRO,manual_keep,status_stale_on_ctgov,false,NCT06059846,regulatory_milestone,Phase 3,interventional,lead_sponsor,Spero tebipenem Phase 3 PIVOT-PO is CTGov-completed with FDA resubmission/regulatory context; keep as non-active regulatory milestone evidence.,Codex,2026-06-26
SRZN,manual_keep,entity_mapping_issue,false,,ctgov_link_pending,,,program_owner,Platform company retained for scored research; active-trial linkage remains under review.,Codex,2026-08-21
STE,manual_keep,collaborator_only_not_lead,true,NCT03865537,active_collaborator_confirmed,active,interventional,collaborator,Active device/service collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
TARA,manual_keep,sponsor_alias_missing,true,NCT07480356,active_verified,Phase 3,interventional,lead_sponsor,Protara active TARA-002 NMIBC and lymphatic malformation trials validated locally; keep for scoring.,Codex,2026-05-28
TCMD,manual_keep,true_historical_only,false,NCT00534937,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
TECH,manual_keep,true_historical_only,false,,commercial_stage_no_therapeutic_trial_required,,,commercial_anchor,Commercial life-science tools issuer; keep scored through commercial fundamentals and do not promote weak ticker-token CTGov matches.,Codex,2026-08-22
TMO,manual_keep,collaborator_only_not_lead,true,NCT05267613,active_collaborator_confirmed,active,interventional,collaborator,Active lab/tools collaborator evidence confirmed; keep scored but do not treat as primary sponsor evidence.,Codex,2026-05-28
TRAX,manual_keep,entity_mapping_issue,false,,ctgov_link_pending,,,program_owner,Platform company retained for scored research; sponsor/program aliases remain under review.,Codex,2026-08-21
UNCY,manual_keep,true_historical_only,false,NCT06218290,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
XERS,manual_keep,true_historical_only,false,NCT03841526,historical_only_confirmed,historical,interventional,historical_only,Clinical registry disposition confirmed historical only; keep scored with no-active-trial penalty.,Codex,2026-05-28
ZBIO,manual_keep,entity_mapping_issue,true,NCT06559163,active_verified,Phase 2,interventional,lead_sponsor,"ZBIO is Zenas BioPharma, not Zentalis; obexelimab active autoimmune trials validated locally; keep for scoring.",Codex,2026-05-27
ZYME,manual_keep,sponsor_alias_missing,true,NCT07164313,active_verified,Phase 1,interventional,lead_sponsor,Zymeworks active ZW251/ZW191 and zanidatamab trial evidence validated locally; keep for scoring.,Codex,2026-05-27
