enabled,ticker,nct_id,expected_company,candidate,expected_relation,notes
false,CORT,NCT04832903,Corcept Therapeutics,Relacorilant,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,ADCT,NCT05151696,ADC Therapeutics,Zynlonta,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,PTGX,NCT05251269,Protagonist Therapeutics,Rusfertide,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,ANIP,NCT04902872,ANI Pharmaceuticals,Cortrophin Gel,sponsor,Batch 2 audit 2026-05-16: CTGov status COMPLETED and lead sponsor Cybrexa Therapeutics; do not apply
false,ALT,NCT05677092,Altimmune,Pemvidutide,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,XERS,NCT04784251,Xeris Biopharma,Xeris Levodopa,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,IONS,NCT04865231,Ionis Pharmaceuticals,Olezarsen,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,MIRM,NCT05061784,Mirum Pharmaceuticals,Volixibat,sponsor,Batch 2 audit 2026-05-16: CTGov status COMPLETED and observational; do not apply
false,INDV,NCT04801047,Indivior,Sublocade,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,TNGX,NCT05663156,Tango Therapeutics,TNG908,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,RYTM,NCT05141465,Rhythm Pharmaceuticals,Setmelanotide,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,IDYA,NCT04590963,Ideaya Biosciences,Darovasertib,sponsor,Batch 2 audit 2026-05-16: wrong-company/manual-review; CTGov lead sponsor AstraZeneca
false,VERA,NCT05455957,Vera Therapeutics,Atacicept,sponsor,Batch 2 audit 2026-05-16: CTGov status COMPLETED and lead sponsor Yeditepe University; do not apply
false,SMMT,NCT05434952,Summit Therapeutics,Ivonescimab,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,ALKS,NCT05378880,Alkermes,Nemvaleukin alfa,sponsor,Batch 2 audit 2026-05-16: CTGov status COMPLETED and unrelated sponsor; do not apply
false,GMAB,NCT05069116,Genmab,Epcoritamab,sponsor,Batch 2 audit 2026-05-16: CTGov status COMPLETED and observational; do not apply
false,PBYI,NCT04857210,Puma Biotechnology,Alisertib,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,ORGO,NCT05025589,Organogenesis,ReNu,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,GLUE,NCT05263255,Monte Rosa Therapeutics,MRT-2359,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,CGON,NCT04610671,CG Oncology,Cretostimogene Grenadenorep,sponsor,Batch 2 audit 2026-05-16: already in DB but CTGov status COMPLETED; do not score as active
false,WVE,NCT05399888,Wave Life Sciences,WVE-N531,sponsor,Batch 2 audit 2026-05-16: wrong-company/manual-review; CTGov lead sponsor Biogen
false,AMLX,NCT05021536,Amylyx Pharmaceuticals,AMX0035,sponsor,Batch 2 audit 2026-05-16: already present and linked; no DB update needed
false,XENE,NCT05663754,Xenon Pharmaceuticals,XEN1101,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,NAMS,NCT05633620,NewAmsterdam Pharma,Obicetrapib,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,JAZZ,NCT04661475,Jazz Pharmaceuticals,Zanidatamab,sponsor,Batch 2 audit 2026-05-16: CTGov status UNKNOWN and unrelated sponsor; do not apply
false,IRON,NCT05564247,Disc Medicine,Bitopertin,sponsor,Batch 2 audit 2026-05-16: wrong-company/manual-review; CTGov lead sponsor Laval University
false,MBX,NCT07584915,MBX Biosciences,MBX 2109,sponsor,Batch 2 audit 2026-05-16: wrong-company/manual-review; CTGov lead sponsor Cedars-Sinai and NCT duplicates prior PCRX item
false,NPCE,NCT02755652,NeuroPace,RNS System,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,AXSM,NCT04970020,Axsome Therapeutics,AXS-05,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,ANRO,NCT05670475,Alto Neuroscience,ALTO-100,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,MRK,NCT05187332,Merck & Co,Pembrolizumab and Vibostolimab,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,ROIV,NCT05279531,Roivant Sciences,Batoclimab,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,CNTX,NCT05476575,Context Therapeutics,ONA-XR,sponsor,Batch 2 audit 2026-05-16: CTGov status COMPLETED and unrelated sponsor; do not apply
false,ABBV,NCT04677260,AbbVie,Skyrizi,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,NKTX,NCT05286801,Nkarta,NKX019,sponsor,Batch 2 audit 2026-05-16: wrong-company/manual-review; CTGov lead sponsor NCI
false,ELVN,NCT05659929,Enliven Therapeutics,ELVN-001,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,CRBP,NCT05718167,Corbus Pharmaceuticals,CRB-701,sponsor,Batch 2 audit 2026-05-16: CTGov status UNKNOWN and unrelated sponsor; do not apply
false,NBTX,NCT03589339,Nanobiotix,NBTXR3,sponsor,Batch 2 audit 2026-05-16: already present and linked; no DB update needed
false,SLNO,NCT03440814,Soleno Therapeutics,DCCR,sponsor,Batch 2 audit 2026-05-16: already in DB but CTGov status COMPLETED; do not score as active
false,IQV,NCT03800991,IQVIA,Real-world data registry,service_provider,Batch 2 audit 2026-05-16: missing_from_ctgov; service-provider relation not scoring evidence
false,PSNL,NCT04653789,Personalis,NeXT Liquid Biopsy,service_provider,Batch 2 audit 2026-05-16: missing_from_ctgov; service-provider relation not scoring evidence
false,IART,NCT04224764,Integra LifeSciences,PriMatrix,device_or_registry,Batch 2 audit 2026-05-16: missing_from_ctgov; device/registry relation not scoring evidence
false,TMO,NCT03434613,Thermo Fisher,Oncomine test,diagnostic_provider,Batch 2 audit 2026-05-16: CTGov status COMPLETED and unrelated sponsor; provider relation not scoring evidence
false,CELC,NCT04439103,Celcuity,Gedatolisib,sponsor,Batch 2 audit 2026-05-16: missing_from_ctgov; do not apply until NCT is corrected
false,NVCR,NCT04471844,NovoCure,TTFields,sponsor,Batch 2 audit 2026-05-16: already in DB but CTGov status COMPLETED; do not score as active
false,CVRX,NCT03463616,CVRx,Barostim Neo,sponsor,Batch 2 audit 2026-05-16: CTGov status COMPLETED and observational; do not apply
