ticker,biotech_calibration_cohort,reason
TGTX,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_profitable_quality_or_mature; source=user_approved_cohort_reorganization_20260830
TMDX,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
TMO,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
UTHR,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
VCEL,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
VRTX,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
VTRS,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
ZBH,commercial_profitable_quality_or_mature,commercial quality or mature calibration cohort
AKBA,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
ANAB,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_turnaround_or_unprofitable_growth; source=user_approved_cohort_reorganization_20260830
ARCT,platform_partnered_modality_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_turnaround_or_unprofitable_growth; source=user_approved_cohort_reorganization_20260830
ARDX,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
ARQT,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
ATRA,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
AXSM,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
CERS,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
CTMX,platform_partnered_modality_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_turnaround_or_unprofitable_growth; source=user_approved_cohort_reorganization_20260830
CTNM,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
CVRX,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
DCTH,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
ENOV,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
ESPR,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
FBIO,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
GERN,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
GKOS,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
HROW,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
IBRX,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
INSM,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
IOVA,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
IPSC,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
KPTI,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
LQDA,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
LXRX,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
MAZE,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
MDGL,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
MDXG,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
MGNX,platform_partnered_modality_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_turnaround_or_unprofitable_growth; source=user_approved_cohort_reorganization_20260830
MIRM,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
MRNA,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
MYGN,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
NPCE,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
NUVB,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
NVAX,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
ORGO,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
PBYI,commercial_profitable_quality_or_mature,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_turnaround_or_unprofitable_growth; source=user_approved_cohort_reorganization_20260830
PCRX,commercial_profitable_quality_or_mature,user-approved cohort reorganization effective 2026-08-31; prior_cohort=commercial_turnaround_or_unprofitable_growth; source=user_approved_cohort_reorganization_20260830
PHAT,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
PSNL,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
PTCT,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
RIGL,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
RYTM,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
SNDX,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
SRPT,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
STRO,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
TARS,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
TCMD,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
TNGX,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
TVTX,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
URGN,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
VNDA,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
XERS,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
ZLAB,commercial_turnaround_or_unprofitable_growth,commercial turnaround or unprofitable growth calibration cohort
ABVX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
AGIO,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
AGMB,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
ALT,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
AMLX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
ANL,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
ANNX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
ARGX,commercial_profitable_quality_or_mature,user-approved cohort reorganization effective 2026-08-31; prior_cohort=late_clinical_pivotal_or_registrational; source=user_approved_cohort_reorganization_20260830
ARVN,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
ARWR,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
ASND,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
AVXL,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
AZTR,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
BBIO,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=late_clinical_pivotal_or_registrational; source=user_approved_cohort_reorganization_20260830
BCYC,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
BLTE,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
BNTC,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
CDXS,platform_partnered_modality_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=late_clinical_pivotal_or_registrational; source=user_approved_cohort_reorganization_20260830
CGTX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
CING,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
CLDX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
CRNX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
CYTK,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
DFTX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
DRTS,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
EIKN,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
ELTX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
EWTX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
EYPT,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
FDMT,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
GRCE,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
HELP,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
HRTX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
IDYA,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
IMTX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
IMUX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
IMVT,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
IONS,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=late_clinical_pivotal_or_registrational; source=user_approved_cohort_reorganization_20260830
KALV,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
KOD,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
KROS,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
LBRX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
MAIA,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
MANE,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
MESO,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
MIST,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
MLTX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
MPLT,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
NAMS,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
NERV,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
NMRA,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
NRIX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
NTLA,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
OCS,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
PCVX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
PHVS,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
PRAX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
PROK,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
PVLA,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
QURE,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
RARE,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=late_clinical_pivotal_or_registrational; source=user_approved_cohort_reorganization_20260830
RCKT,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
RCUS,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
REPL,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
RGNX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
ROIV,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=late_clinical_pivotal_or_registrational; source=user_approved_cohort_reorganization_20260830
RVMD,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
SABS,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
SER,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
SGP,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
SNSE,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
STOK,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
SVRA,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
TARA,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
TENX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
TLX,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
TRVI,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
TYRA,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
XENE,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
XNCR,platform_partnered_modality_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=late_clinical_pivotal_or_registrational; source=user_approved_cohort_reorganization_20260830
ZYME,late_clinical_pivotal_or_registrational,late clinical pivotal or registrational calibration cohort
ABCL,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
ABSI,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
ADAG,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
ALLO,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
ANTX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
ARTV,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
AUTL,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
BCAX,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
BDTX,platform_partnered_modality_pipeline,MasterKey precision-oncology platform with multiple clinical assets and partnered BDTX-4933
BEAM,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
BIOA,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
BNTX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
CABA,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
CADL,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
CAMP,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
CCCC,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
CUE,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
CRBU,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
CRSP,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
DNLI,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
DTIL,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
EDIT,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
ELDN,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
ENGN,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
EPRX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
FATE,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
GMAB,commercial_profitable_quality_or_mature,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
GPCR,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
IBIO,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
IMMP,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
IMNM,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
INBX,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
INKT,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
IVVD,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
JANX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
KRRO,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
KYMR,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
KYTX,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
LCTX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
LEGN,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
LTRN,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
LXEO,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
LYEL,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
MGTX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
NBTX,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
NGNE,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
NKTX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
NUVL,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
PRME,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
QTTB,early_clinical_speculative_or_single_asset_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
RANI,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
RLAY,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
RNAC,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
RXRX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
SANA,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
SEPN,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
SGMT,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
SION,early_clinical_speculative_or_single_asset_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
SLDB,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
SLN,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
SMMT,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
SPRY,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
SRRK,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
STTK,early_clinical_speculative_or_single_asset_pipeline,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
SYRE,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
TECX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
TOVX,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
TRDA,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
TNYA,platform_partnered_modality_pipeline,cardiac gene-therapy platform with two clinical programs
TSHA,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
UPB,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
VERA,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
VIR,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
VKTX,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
VOR,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
VRDN,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
VSTM,commercial_turnaround_or_unprofitable_growth,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
VTVT,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
VYGR,platform_partnered_modality_pipeline,platform partnered modality pipeline calibration cohort
WVE,platform_partnered_modality_pipeline,historical supplemental platform partnered modality pipeline calibration cohort
ZBIO,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
ZNTL,late_clinical_pivotal_or_registrational,user-approved cohort reorganization effective 2026-08-31; prior_cohort=platform_partnered_modality_pipeline; source=user_approved_cohort_reorganization_20260830
