metric_name,source_kind,taxonomy,concept_name,priority,industry_aggregate,component_group,wide_column_name,period_type,taxonomy_key,concept_key,rule_id,rule_scope,mapping_note
revenue,direct,us-gaap,RegulatedAndUnregulatedOperatingRevenue,45,Utilities & Independent Power,,,duration,,,utilities_regulated_operating_revenue_exact,generic_rules,Common utility top-line tags not in the built-in mapping registry.
revenue,direct,us-gaap,RegulatedOperatingRevenue,46,Utilities & Independent Power,,,duration,,,utilities_regulated_operating_revenue_exact,generic_rules,Common utility top-line tags not in the built-in mapping registry.
revenue,direct,us-gaap,RegulatedOperatingRevenueElectricNonNuclear,46,Utilities & Independent Power,,,duration,,,utilities_regulated_operating_revenue_pattern,generic_rules,Expand to exact concepts only when they exist in the fact inventory.
revenue,direct,us-gaap,RegulatedOperatingRevenueFieldServices,47,Utilities & Independent Power,,,duration,,,utilities_regulated_operating_revenue_pattern,generic_rules,Expand to exact concepts only when they exist in the fact inventory.
revenue,direct,us-gaap,RegulatedOperatingRevenueFossilFuel,48,Utilities & Independent Power,,,duration,,,utilities_regulated_operating_revenue_pattern,generic_rules,Expand to exact concepts only when they exist in the fact inventory.
revenue,direct,us-gaap,RegulatedOperatingRevenueGas,49,Utilities & Independent Power,,,duration,,,utilities_regulated_operating_revenue_pattern,generic_rules,Expand to exact concepts only when they exist in the fact inventory.
revenue,direct,us-gaap,RegulatedOperatingRevenueOther,50,Utilities & Independent Power,,,duration,,,utilities_regulated_operating_revenue_pattern,generic_rules,Expand to exact concepts only when they exist in the fact inventory.
revenue,direct,us-gaap,RegulatedOperatingRevenueSteam,51,Utilities & Independent Power,,,duration,,,utilities_regulated_operating_revenue_pattern,generic_rules,Expand to exact concepts only when they exist in the fact inventory.
revenue,direct,us-gaap,RegulatedOperatingRevenueWater,52,Utilities & Independent Power,,,duration,,,utilities_regulated_operating_revenue_pattern,generic_rules,Expand to exact concepts only when they exist in the fact inventory.
revenue,direct,ifrs-full,Revenue,10,,,,duration,ifrs-full,revenue,,,
revenue,direct,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,10,,,,duration,us-gaap,revenuefromcontractwithcustomerexcludingassessedtax,,,
revenue,direct,ifrs-full,RevenueFromContractsWithCustomers,11,,,,duration,ifrs-full,revenuefromcontractswithcustomers,,,
revenue,direct,us-gaap,Revenues,11,,,,duration,us-gaap,revenues,,,
revenue,direct,ifrs-full,InsuranceRevenue,12,,,,duration,ifrs-full,insurancerevenue,,,
revenue,direct,us-gaap,SalesRevenueNet,12,,,,duration,us-gaap,salesrevenuenet,,,
revenue,direct,us-gaap,SalesRevenueServicesNet,13,,,,duration,us-gaap,salesrevenueservicesnet,,,
revenue,direct,us-gaap,OperatingRevenue,14,,,,duration,us-gaap,operatingrevenue,,,
total_assets,direct,ifrs-full,Assets,10,,,,instant,ifrs-full,assets,,,
total_assets,direct,us-gaap,Assets,10,,,,instant,us-gaap,assets,,,
total_equity,direct,ifrs-full,Equity,10,,,,instant,ifrs-full,equity,,,
total_equity,direct,us-gaap,StockholdersEquity,10,,,,instant,us-gaap,stockholdersequity,,,
total_equity,direct,ifrs-full,EquityAttributableToOwnersOfParent,11,,,,instant,ifrs-full,equityattributabletoownersofparent,,,
total_equity,direct,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,11,,,,instant,us-gaap,stockholdersequityincludingportionattributabletononcontrollinginterest,,,
total_equity,direct,us-gaap,PartnersCapitalIncludingPortionAttributableToNoncontrollingInterest,12,,,,instant,us-gaap,partnerscapitalincludingportionattributabletononcontrollinginterest,,,
total_equity,direct,us-gaap,MembersEquity,13,,,,instant,us-gaap,membersequity,,,
total_equity,direct,us-gaap,CommonStockholdersEquity,45,,,,instant,,,common_stockholders_equity_alias,generic_rules,Safe lower-priority alias for total equity when stockholders-equity tags are absent.
