"ticker","billing_category","payment_rate_status","primary_payment_file","coverage_score","payment_score","review_reason","notes","valid_from","reviewed_at"
"VTAK","emerging_procedure_platform","developmental_premarket_no_active_billing","none","65.0","55.0","resolved_developmental_platform_no_active_billing","Catheter Precision is an emerging electrophysiology/procedure platform; keep reimbursement conservative until product-specific payment evidence is validated.","2026-06-26","2026-06-26"
"AXGN","surgical_biologics_regenerative_implants","packaged_status_n","opps_packaged_supply_pathway","80.0","70.0","resolved_packaged_surgical_biologics_pathway","Axogen nerve-repair grafts and surgical matrices are better represented as packaged surgical biologics/procedure economics than generic skin-substitute codes.","2026-06-26","2026-06-26"
"EMBC","diabetes_consumables","pharmacy_benefit_or_ncpdp","pharmacy_dme_commercial","85.0","75.0","resolved_diabetes_supply_pharmacy_benefit","Embecta diabetes injection and insulin-delivery consumables route through pharmacy/DME/commercial channels rather than a single proprietary device code.","2026-06-26","2026-06-26"
"MBOT","emerging_robotic_procedure_platform","developmental_premarket_no_active_billing","none","65.0","55.0","resolved_developmental_platform_no_active_billing","Microbot LIBERTY is an emerging robotic endovascular platform; keep reimbursement conservative until a product-specific active code is validated.","2026-06-26","2026-06-26"
"NPCE","implantable_neurostimulation_platform","packaged_apc_asc","opps_packaged_implantable_device_pathway","80.0","70.0","resolved_implantable_device_packaged_pathway","NeuroPace RNS implant economics are procedure/implantable-device packaged rather than generic catheter reimbursement.","2026-06-26","2026-06-26"
"GCTK","emerging_glucose_monitoring_platform","developmental_premarket_no_active_billing","none","65.0","55.0","resolved_developmental_platform_no_active_billing","GlucoTrack is an emerging glucose-monitoring platform; keep reimbursement conservative until active coverage/payment evidence is validated.","2026-06-26","2026-06-26"
"VNRX","veterinary_commercial_and_precommercial_human","veterinary_no_cms","none","70.0","50.0","resolved_veterinary_and_precommercial_human_no_us_billing_code","Commercial Nu.Q revenue is veterinary and partner/licensing driven; human Nu.Q applications remain pre-commercial in the United States. Do not assign human CPT, PLA, CLFS, or MAC direct-code evidence. CPT 87631 was explicitly retired as unrelated.","2026-07-24","2026-07-23"
"CSTL","centralized_oncology_laboratory","clfs_fee_schedule","cms_clfs_moldx","90.0","85.0","resolved_decisiondx_melanoma_moldx_coverage","DecisionDx-Melanoma uses CPT 81529 and is covered under indication-specific MolDX melanoma-risk-stratification policies; commercial coverage remains payer-specific.","2021-01-01","2026-07-24"
"BIAF","centralized_emerging_diagnostic_laboratory","active_mac_gapfill_price_pending","cms_clfs_pla_0406u","45.0","55.0","limited_cypath_lung_coverage","CyPath Lung has assay-specific PLA code 0406U, but code assignment and pricing do not establish broad payer coverage. Keep coverage scoring conservative until authoritative coverage evidence is loaded.","2023-10-01","2026-07-24"
"GRAL","centralized_mced_laboratory","cash_pay_or_out_of_pocket","self_pay_employer_health_plan","45.0","50.0","limited_galleri_broad_reimbursement","Galleri is sold through self-pay, employers, health systems, and selected plans, but GRAIL reports no broad Medicare or large-commercial-payer reimbursement. Do not infer CMS payment from 81479.","2026-07-24","2026-07-24"
"PSNL","centralized_oncology_mrd_laboratory","clfs_fee_schedule","cms_moldx_mrd","90.0","80.0","resolved_next_personal_moldx_coverage","CMS MolDX article A58468 lists NeXT Personal as covered for specified MRD indications. Coverage is indication-specific and uses 81479 plus a DEX Z-Code when no specific CPT code applies.","2026-07-24","2026-07-24"
"NEO","laboratory_services","large_lab_clfs_array","cms_clfs_moldx","95.0","90.0","resolved_oncology_lab_clfs_moldx_routing","NeoGenomics is a centralized oncology laboratory with CLFS, MolDX, and commercial reimbursement pathways. PanTracer LBx received MolDX coverage under the applicable plasma-based genomic-profiling LCD in March 2026.","2026-03-16","2026-07-24"
"XGN","centralized_autoimmune_diagnostic_laboratory","active_mac_gapfill_price_pending","cms_clfs_pla_0312u","55.0","65.0","priced_avise_lupus_coverage_not_broad","AVISE Lupus has PLA code 0312U and MAC pricing. Pricing is not synonymous with coverage, so retain conservative coverage scoring and do not route the immunoassay through a generic molecular-MolDX proxy.","2022-04-01","2026-07-24"
