"ticker","reimbursement_code","code_type","source_id","confidence","short_description","long_description","mapping_method","matched_term","notes","active","valid_from","reviewed_at","valid_to"
"VNRX","87631","CPT","cms_payment_files","95.0","Respiratory virus multiplex","Infectious agent nucleic-acid respiratory virus multiplex reimbursement anchor","direct_molecular_match","volitionrx_diagnostics","Retired after review confirmed CPT 87631 is a respiratory-virus nucleic-acid panel and does not describe the Nu.Q nucleosome immunoassay; retained only for PIT history","1","2026-06-26","2026-06-26","2026-07-23"
"TMDX","0710T","CPT","cms_payment_files","100.0","Organ perfusion donor liver","Noninvasive machine perfusion of organ procurement donor liver allograft","direct_product_match","transmedics_ocs","TransMedics Organ Care System emerging Category III procedure-code anchor; keep binary/platform review separate from reimbursement mapping","1","2026-06-26","2026-06-26",""
"DCTH","0268T","CPT","cms_payment_files","95.0","Organ perfusion circuit","Chemofiltration or organ perfusion circuit procedure with automated agent monitoring","direct_product_match","delcath_hepzato_chemosat","Delcath HEPZATO/CHEMOSAT procedure-code anchor; keep binary oncology platform review separate from reimbursement mapping","1","2026-06-26","2026-06-26",""
"CDNA","81595","CPT","cms_payment_files","100.0","Heart transplant mRNA assay","Cardiology heart transplant mRNA multi-analyte assay profiling arrays","direct_molecular_match","allomap","CareDx post-transplant rejection monitoring reimbursement anchor","1","2026-06-26","2026-06-26",""
"MYGN","81432","CPT","cms_payment_files","100.0","Hereditary breast cancer panel","Hereditary breast cancer genomic sequence analysis panel","direct_molecular_match","myriad_hereditary","Myriad Genetics hereditary cancer panel reimbursement anchor","1","2026-06-26","2026-06-26",""
"PLSE","0474T","CPT","cms_payment_files","95.0","Non-thermal skin lesion destruction","Non-thermal destruction of skin lesions by cellular electroporation or related energy platform","direct_product_match","nanopulse","Pulse Biosciences Nano-Pulse Stimulation reimbursement proxy; keep binary platform risk separate","1","2026-06-26","2026-06-26",""
"TMCI","C1713","HCPCS","cms_payment_files","100.0","Bone fixation anchor or screw","Anchor or screw for opposing bone-to-bone or soft tissue-to-bone fixation","direct_product_match","lapiplasty_bone_fixation","Treace Lapiplasty orthopedic fixation hardware reimbursement anchor","1","2026-06-26","2026-06-26",""
"SGHT","0613T","CPT","cms_payment_files","100.0","Microocular shunt procedure","Microinvasive glaucoma procedure involving anterior segment aqueous outflow","direct_product_match","omni_migs","Sight Sciences OMNI/MIGS reimbursement anchor","1","2026-06-26","2026-06-26",""
"CERS","P9070","HCPCS","cms_payment_files","100.0","Pathogen-reduced pooled plasma","Plasma, pooled multiple donor, pathogen reduced, frozen, each unit","direct_product_match","intercept_pathogen_reduced_plasma","Active 2026 HCPCS blood-component code; outpatient direct-code evidence with inpatient bundled treatment retained separately","1","2026-01-01","2026-08-10",""
"CERS","P9071","HCPCS","cms_payment_files","100.0","Pathogen-reduced single-donor plasma","Plasma, single donor, pathogen reduced, frozen, each unit","direct_product_match","intercept_pathogen_reduced_plasma","Active 2026 HCPCS blood-component code; outpatient direct-code evidence with inpatient bundled treatment retained separately","1","2026-01-01","2026-08-10",""
"CERS","P9073","HCPCS","cms_payment_files","100.0","Pathogen-reduced apheresis platelets","Platelets, pheresis, pathogen-reduced, each unit","direct_product_match","intercept_pathogen_reduced_platelets","Direct INTERCEPT platelet billing anchor associated with PMA BP140143","1","2026-01-01","2026-08-10",""
"CERS","P9026","HCPCS","cms_payment_files","100.0","Pathogen-reduced fibrinogen complex","Pathogen-reduced cryoprecipitated fibrinogen complex, each unit","direct_product_match","intercept_fibrinogen_complex","IFC outpatient per-unit code; inpatient payment is treated as MS-DRG bundled after NTAP maturity","1","2026-01-01","2026-08-10",""
