"ticker","company_name","calibration_cohort","include_in_universe","reason","valid_from","valid_to","reviewed_at"
"IART","Integra LifeSciences","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_neurosurgical_instruments_tissue_surgical_supplies_2026_06_06","2026-06-06","","2026-06-26"
"ICUI","ICU Medical","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"ITGR","Integer Holdings","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_contract_manufacturing_components_forced_supplies_fallback_2026_06_06","2026-06-06","","2026-06-26"
"MDLN","Medline","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"PDEX","Pro-Dex","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_contract_manufacturing_components_forced_supplies_fallback_2026_06_06","2026-06-06","","2026-06-26"
"RCEL","AVITA Medical","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_surgical_biologics_wound_regenerative_2026_06_06","2026-06-06","","2026-06-26"
"SMTI","Sanara MedTech","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"SOLV","Solventum","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"STE","Steris","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"TFX","Teleflex","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"UFPT","UFP Technologies","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_contract_manufacturing_components_forced_supplies_fallback_2026_06_06","2026-06-06","","2026-06-26"
"WST","West Pharmaceutical Services","hospital_supplies_surgical_consumables_oem","true","taxonomy_redesign_supplies_consumables_oem_2026_06_06","2026-06-06","","2026-06-26"
"ABT","Abbott Laboratories","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"ANGO","AngioDynamics","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"AORT","Artivion","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"ATRC","AtriCure","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"AVR","Anteris Technologies","emerging_single_product_medtech_platforms","true","historical_taxonomy_correction_2026_08_30_from_implantable_interventional_devices_direct_payment_to_emerging_single_product_medtech_platforms","2024-12-13","","2026-08-30"
"BSX","Boston Scientific","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"CLPT","ClearPoint Neuro","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"CVRX","CVRx","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"EW","Edwards Lifesciences","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"INSP","Inspire Medical Systems","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"LIVN","LivaNova","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"LMAT","LeMaitre Vascular","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"MDT","Medtronic","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"MMSI","Merit Medical Systems","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"NPCE","NeuroPace","implantable_interventional_devices_direct_payment","true","taxonomy_redesign_true_implantable_interventional_direct_payment_2026_06_06","2026-06-06","","2026-06-26"
"PEN","Penumbra","implantable_interventional_devices_direct_payment","false","pending_boston_scientific_acquisition_remove_from_active_universe_2026_06_26","2026-06-26","","2026-06-26"
"ALGN","Align Technology","elective_vision_dental_aesthetic_devices","true","taxonomy_redesign_elective_vision_dental_aesthetic_2026_06_06","2026-06-06","","2026-06-26"
"BLCO","Bausch + Lomb","elective_vision_dental_aesthetic_devices","true","taxonomy_redesign_elective_vision_dental_aesthetic_2026_06_06","2026-06-06","","2026-06-26"
"COO","The Cooper Companies","elective_vision_dental_aesthetic_devices","true","taxonomy_redesign_elective_vision_dental_aesthetic_2026_06_06","2026-06-06","","2026-06-26"
"ESTA","Establishment Labs","elective_vision_dental_aesthetic_devices","true","taxonomy_redesign_elective_vision_dental_aesthetic_2026_06_06","2026-06-06","","2026-06-26"
"GKOS","Glaukos","elective_vision_dental_aesthetic_devices","true","taxonomy_redesign_elective_vision_dental_aesthetic_2026_06_06","2026-06-06","","2026-06-26"
"NVST","Envista","elective_vision_dental_aesthetic_devices","true","taxonomy_redesign_elective_vision_dental_aesthetic_2026_06_06","2026-06-06","","2026-06-26"
"RXST","RxSight","elective_vision_dental_aesthetic_devices","true","taxonomy_redesign_elective_vision_dental_aesthetic_2026_06_06","2026-06-06","","2026-06-26"
"SGHT","Sight Sciences","elective_vision_dental_aesthetic_devices","true","taxonomy_redesign_elective_vision_dental_aesthetic_2026_06_06","2026-06-06","","2026-06-26"
"WRBY","Warby Parker","elective_vision_dental_aesthetic_devices","false","sector_scope_exclusion_2026_08_30_preserve_facts_remove_from_med_device_scoring","2026-06-06","","2026-08-30"
"XRAY","DENTSPLY SIRONA","elective_vision_dental_aesthetic_devices","true","taxonomy_redesign_elective_vision_dental_aesthetic_2026_06_06","2026-06-06","","2026-06-26"
"CATX","Perspective Therapeutics","emerging_single_product_medtech_platforms","false","sector_scope_exclusion_2026_08_30_preserve_facts_remove_from_med_device_scoring","2026-06-06","","2026-08-30"
"DCTH","Delcath Systems","emerging_single_product_medtech_platforms","true","historical_taxonomy_correction_2026_08_30_from_emerging_single_product_medtech_platforms_to_emerging_single_product_medtech_platforms","2018-05-03","","2026-08-30"
"GCTK","GlucoTrack","emerging_single_product_medtech_platforms","true","taxonomy_redesign_binary_emerging_implantable_glucose_monitoring_2026_06_06","2026-06-06","","2026-06-26"
"MBOT","Microbot Medical","emerging_single_product_medtech_platforms","true","historical_taxonomy_correction_2026_08_30_from_emerging_single_product_medtech_platforms_to_emerging_single_product_medtech_platforms","2000-01-03","","2026-08-30"
"NVCR","NovoCure","home_chronic_care_devices_dme_drug_delivery","true","historical_taxonomy_correction_2026_08_30_from_emerging_single_product_medtech_platforms_to_home_chronic_care_devices_dme_drug_delivery","2015-10-01","","2026-08-30"
"PLSE","Pulse Biosciences","emerging_single_product_medtech_platforms","true","taxonomy_redesign_surgical_energy_ablation_platform_2026_06_06","2026-06-06","","2026-06-26"
"PROF","Profound Medical","capital_equipment_procedure_platforms","true","historical_taxonomy_correction_2026_08_30_from_emerging_single_product_medtech_platforms_to_capital_equipment_procedure_platforms","2019-10-29","","2026-08-30"
"SNWV","Sanuwave Health","emerging_single_product_medtech_platforms","true","taxonomy_redesign_binary_wound_therapy_platform_2026_06_06","2026-06-06","","2026-06-26"
"TLSI","TriSalus Life Sciences","emerging_single_product_medtech_platforms","true","historical_taxonomy_correction_2026_08_30_from_emerging_single_product_medtech_platforms_to_emerging_single_product_medtech_platforms","2021-02-08","","2026-08-30"
"VTAK","Catheter Precision","emerging_single_product_medtech_platforms","false","sector_scope_exclusion_2026_08_30_preserve_facts_remove_from_med_device_scoring","2026-06-06","","2026-08-30"
"A","Agilent Technologies","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"AVTR","Avantor","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"AZTA","Azenta","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"BIO","Bio-Rad Laboratories","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"BLFS","BioLife Solutions","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"BRKR","Bruker","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"CTKB","Cytek Biosciences","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"DHR","Danaher","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"ILMN","Illumina","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"LAB","Standard BioTools","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"MASS","908 Devices","life_science_tools_research_instruments","false","sector_scope_exclusion_2026_08_30_preserve_facts_remove_from_med_device_scoring","2026-06-06","","2026-08-30"
"MTD","Mettler-Toledo","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"PACB","Pacific Biosciences","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"QSI","Quantum-Si","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"QTRX","Quanterix","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"RGEN","Repligen","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"RVTY","Revvity","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"TMO","Thermo Fisher Scientific","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"TWST","Twist Bioscience","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"WAT","Waters","life_science_tools_research_instruments","true","taxonomy_redesign_life_science_tools_cleaned_2026_06_06","2026-06-06","","2026-06-26"
"ATEC","Alphatec Holdings","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"BVS","Bioventus","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"CNMD","CONMED","hospital_supplies_surgical_consumables_oem","true","historical_taxonomy_correction_2026_08_30_from_orthopedics_spine_sports_implants_to_hospital_supplies_surgical_consumables_oem","2000-01-03","","2026-08-30"
"ENOV","Enovis","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"GMED","Globus Medical","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"KIDS","OrthoPediatrics","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"OFIX","Orthofix Medical","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"SIBN","SI-BONE","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"SYK","Stryker","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"TMCI","Treace Medical Concepts","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"ZBH","Zimmer Biomet","orthopedics_spine_sports_implants","true","taxonomy_redesign_orthopedics_spine_sports_implants_2026_06_06","2026-06-06","","2026-06-26"
"ALMR","Alamar Biosciences, Inc.","life_science_tools_research_instruments","true","audited_ruo_proteomics_research_instrument_business_model","2026-04-17","","2026-08-21"
"LMRI","Lumexa Imaging Holdings, Inc.","healthcare_services_cro_lab_services","true","audited_outpatient_diagnostic_imaging_service_provider","2025-12-11","","2026-08-21"
"MOBI","Mobia Medical, Inc.","implantable_interventional_devices_direct_payment","true","audited_vivistim_implantable_neuromodulation_platform","2026-05-08","","2026-08-21"
"SI","Shoulder Innovations, Inc.","orthopedics_spine_sports_implants","true","audited_shoulder_arthroplasty_implant_platform","2025-07-31","","2026-08-21"
"BBNX","Beta Bionics, Inc.","home_chronic_care_devices_dme_drug_delivery","true","audited_ilet_automated_insulin_delivery_platform","2025-01-30","","2026-08-22"
"BLLN","BillionToOne, Inc.","diagnostics_clinical_tests","true","audited_centralized_prenatal_and_oncology_diagnostics","2025-11-06","","2026-08-22"
"FLGT","Fulgent Genetics, Inc.","diagnostics_clinical_tests","true","audited_centralized_genetic_and_oncology_diagnostics","2016-09-29","","2026-08-22"
"FRNM","Freenome, Inc.","diagnostics_clinical_tests","true","audited_precommercial_blood_based_cancer_screening_platform","2026-07-21","","2026-08-22"
"LNSR","LENSAR, Inc.","elective_vision_dental_aesthetic_devices","true","audited_ophthalmic_femtosecond_laser_platform","2020-10-01","","2026-08-22"
"PRPO","Precipio, Inc.","diagnostics_clinical_tests","true","audited_centralized_oncology_diagnostics_and_asr_products","2017-06-30","","2026-08-22"
"MDXG","MiMedx Group, Inc.","hospital_supplies_surgical_consumables_oem","true","safe_onboarding_verified_business_model_and_security_identity_2026_08_30","2008-04-02","","2026-08-30"
"ORGO","Organogenesis Holdings Inc.","hospital_supplies_surgical_consumables_oem","true","safe_onboarding_verified_business_model_and_security_identity_2026_08_30","2018-12-11","","2026-08-30"
"CAI","Caris Life Sciences, Inc.","diagnostics_clinical_tests","true","safe_onboarding_verified_business_model_and_security_identity_2026_08_30","2025-06-18","","2026-08-30"
"LNTH","Lantheus Holdings, Inc.","diagnostics_clinical_tests","true","safe_onboarding_verified_business_model_and_security_identity_2026_08_30","2015-06-25","","2026-08-30"
"ANIK","Anika Therapeutics, Inc.","orthopedics_spine_sports_implants","true","safe_onboarding_verified_business_model_and_security_identity_2026_08_30","1993-05-03","","2026-08-30"
"TECH","Bio-Techne Corporation","life_science_tools_research_instruments","true","safe_onboarding_verified_business_model_and_security_identity_2026_08_30","1989-02-09","","2026-08-30"
