ticker,footprint_category,primary_fda_entity,regulatory_route,key_class,product_codes,premarket_numbers,fei_numbers,expected_cdrh_records,review_adjusted_fda_state,review_reason,fda_product_score,note,valid_from,reviewed_at,valid_to
ADPT,direct_regulated_ivd_and_clia,Adaptive Biotechnologies Corporation,"De Novo, 510(k), and centralized CLIA laboratory",Class II IVD and centralized laboratory,QDC,DEN170080;K200009,,yes,manual_fda_footprint_device,verified_fda_denovo_den170080_and_510k_k200009_qdc,50,clonoSEQ DEN170080 and K200009/QDC verified in the FDA De Novo and 510(k) databases; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
GRAL,centralized_ldt_clia,GRAIL Inc,Centralized CLIA laboratory test with prospective FDA pathway,CLIA laboratory-developed test,,,3014219451,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,Galleri is currently treated as a centralized laboratory test; any future FDA submission or mapped event remains fully risk-gated,2026-07-24,2026-07-23
HAE,device_manufacturer,Haemonetics Corporation,510k and CBER biologics device footprint,Class II and biologics device,KBR;LRL,,1218567,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,NexSys and VASCADE footprint split across CDRH and CBER; removed K192455 after FDA applicant mismatch validation,2026-06-26,2026-06-26
IDXX,infrastructure,IDEXX Laboratories,FDA CVM track,CVM veterinary diagnostics,,,1222451,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,primarily veterinary diagnostics under CVM,2026-06-26,2026-06-26
IMDX,service_or_non_cdrh,Insight Molecular Diagnostics,Early stage laboratory track,Diagnostic software and lab development,,,,yes,manual_fda_footprint_service_or_non_cdrh,manual_fda_non_cdrh_or_service_footprint,45,early diagnostic software and laboratory footprint,2026-06-26,2026-06-26
INFU,device_manufacturer,"InfuSystem Holdings, Inc.",Establishment registration and device servicing footprint,Class II distributor and service provider,FRN,,1833948,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,InfuSystem is a leasing/logistics/service provider for infusion pumps; route to establishment registration/listing data when available rather than 510k/PMA ownership,2026-06-26,2026-06-26
INGN,device_manufacturer,"Inogen, Inc.",510k footprint requires verified IDs,Class II,CAW,,3005128312,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,removed K213012 after openFDA missing ID validation,2026-06-26,2026-06-26
IQV,service_or_non_cdrh,IQVIA Holdings,CRO registry,Clinical research organization,,,3004112954,no,manual_fda_footprint_service_or_non_cdrh,manual_fda_non_cdrh_or_service_footprint,45,CRO manages trials but does not register products under IQV,2026-06-26,2026-06-26
IRTC,device_manufacturer,iRhythm Technologies,510k,Class II,DSI;DSH;QYX,K240177;K190593,3008985112,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Zio arrhythmia monitoring footprint,2026-06-26,2026-06-26
ITGR,infrastructure,Integer Greatbatch Lake Region,Contract device manufacturer,OEM contract manufacturer,,FEI-only,2183787;1629854;3010326622,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,Class II and III component supplier,2026-06-26,2026-06-26
LAB,infrastructure,Standard BioTools Fluidigm,RUO instrumentation,RUO instrumentation,,,3008542119,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,RUO mass cytometry and microfluidics instrumentation,2026-06-26,2026-06-26
LH,centralized_ldt_clia,Labcorp Holdings,Centralized CLIA/CAP laboratory services,CLIA clinical laboratory,,,1024541,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,Core laboratory-service revenue is structurally routed outside distributed-device scoring; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
MASS,infrastructure,908 Devices,RUO mass spectrometry systems,RUO mass spectrometry systems,,,3011241098,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,RUO and field mass spectrometry systems,2026-06-26,2026-06-26
MBOT,device_manufacturer,Microbot Medical Inc.,pre-commercial investigational device,Class II pipeline,DRE,,3014125881,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,LIBERTY endovascular robotic system is pre-commercial and should not be forced into openFDA approval rows,2026-06-26,2026-06-26
MDAI,software_device,"Spectralmd, Inc.",De Novo diagnostic software,Class II software-aided wound assessment device,SHY,DEN250028,,yes,manual_fda_footprint_device,verified_fda_denovo_den250028_shy,50,DeepView AI System DEN250028/SHY verified in the FDA De Novo database; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
MEDP,service_or_non_cdrh,Medpace Holdings,Clinical trial laboratory services,Clinical research organization,,,3005412984,no,manual_fda_footprint_service_or_non_cdrh,manual_fda_non_cdrh_or_service_footprint,45,CRO and analytical central lab service provider,2026-06-26,2026-06-26
MTD,infrastructure,Mettler-Toledo LLC,Class I laboratory equipment logs,Class I laboratory balance and pipette registry,,,1526421,yes,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,laboratory balance and analytical instrument footprint,2026-06-26,2026-06-26
MYGN,ivd_lab,Myriad Genetic Laboratories,PMA companion diagnostic,Class III companion diagnostic,OOY,P140020,3004124119,yes,manual_fda_footprint_ivd_lab,manual_fda_ivd_lab_footprint_no_mapped_events,52,BRACAnalysis CDx and CLIA LDT footprint,2026-06-26,2026-06-26
NEO,centralized_ldt_clia,NeoGenomics Laboratories,Centralized CLIA/CAP oncology laboratory services,CLIA oncology diagnostics,,,3008412998,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,Core oncology assays are treated as centralized laboratory services; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
NEOG,infrastructure,Neogen Corp,FDA CFSAN track,Food and animal safety diagnostics,,,1831154,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,primarily food and animal safety validation tracks,2026-06-26,2026-06-26
NVST,infrastructure,Ormco Nobel Biocare Kerr,510k dental subsidiary footprint,Class II dental implants and orthodontics,DZE,,1021451,yes,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,removed K221402 and K213451 after openFDA applicant mismatch,2026-06-26,2026-06-26
OPK,ivd_lab,BioReference Laboratories,CLIA diagnostics and CDER drug track,CLIA diagnostics and CDER drug track,,NDA 208101,2434521,yes,manual_fda_footprint_ivd_lab,manual_fda_ivd_lab_footprint_no_mapped_events,52,diagnostics lab and pharmaceutical footprint,2026-06-26,2026-06-26
OSUR,direct_regulated_device,OraSure Technologies,PMA and 510(k) direct-manufacturer tracking,Class II and Class III IVD,MIB;MZF,,1450257,yes,mapping_review_required,direct_regulated_product_mapping_requires_verification,50,"Physical collection devices and diagnostic kits are not eligible for an LDT exemption; verify PMA, 510(k), recall, and adverse-event linkage",2026-07-24,2026-07-23
OWLT,device_manufacturer,"Owlet Baby Care, Inc.",510k,Class II,BOC;OLG,,3018241092,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,BabySat and Dream Sock infant vitals monitor footprint; removed K232301 K231433 and K233434 after FDA applicant mismatch validation,2026-06-26,2026-06-26
PACB,infrastructure,Pacific Biosciences,RUO sequencing instrumentation,RUO sequencing instrumentation,,,3007214984,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,RUO long-read sequencing platform,2026-06-26,2026-06-26
PDEX,infrastructure,Pro-Dex Inc,OEM component builder,OEM surgical power tool component builder,,,2031145,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,sub-assembly OEM component footprint,2026-06-26,2026-06-26
PLSE,device_manufacturer,"Pulse Biosciences, Inc.",510k footprint requires verified IDs,Class II,GGE,,3013954117,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,removed K230419 after openFDA applicant mismatch,2026-06-26,2026-06-26
PRCT,device_manufacturer,PROCEPT BioRobotics Corporation,510k footprint requires verified IDs,Class II,QCH,,3012391218,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,removed K233105 after openFDA applicant mismatch,2026-06-26,2026-06-26
PROF,device_manufacturer,Profound Medical Inc.,510k footprint requires verified IDs,Class II,LRL,,3012984113,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,removed K191592 after openFDA applicant mismatch,2026-06-26,2026-06-26
PSNL,centralized_ldt_clia,Personalis Inc,Centralized CLIA laboratory-developed tests,NGS LDT CLIA laboratory,,,3011421095,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,NeXT Personal is treated as a centralized laboratory assay; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
QDEL,ivd_lab,QuidelOrtho,510k and PMA subsidiary footprint,Class II and Class III IVD,KHM;JCT,,2024514;1318432,yes,manual_fda_footprint_ivd_lab,manual_fda_ivd_lab_footprint_no_mapped_events,52,removed K221054 and P040028 after openFDA applicant mismatch,2026-06-26,2026-06-26
QSI,infrastructure,Quantum-Si,RUO protein sequencing,RUO protein sequencing,,,3018954112,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,RUO protein sequencing platform,2026-06-26,2026-06-26
QTRX,infrastructure,Quanterix Corp,RUO and IVD assay pipeline,RUO and IVD assay pipeline,,,3011452119,yes,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,Simoa platform and biomarker assay footprint,2026-06-26,2026-06-26
RDNT,service_or_non_cdrh,RadNet DeepHealth,510k radiology software footprint,Class II radiology software,LLZ,,3017421195,yes,manual_fda_footprint_service_or_non_cdrh,manual_fda_non_cdrh_or_service_footprint,45,removed K231054 after openFDA applicant mismatch,2026-06-26,2026-06-26
RVTY,infrastructure,Revvity Euroimmun,510k IVD kits and legacy PerkinElmer footprint,Class II IVD kits,JZM,,3003941198,yes,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,removed K210192 after openFDA applicant mismatch,2026-06-26,2026-06-26
RXST,device_manufacturer,RxSight Inc,PMA,Class III PMA,MMO,P160055,3005118742,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Light Adjustable Lens footprint,2026-06-26,2026-06-26
SHC,infrastructure,Sterigenics Nelson Labs,Contract sterilization and validation labs,Contract sterilization and validation labs,,FEI-only,1526142;3003954211,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,sterilization and validation infrastructure footprint,2026-06-26,2026-06-26
SMTI,infrastructure,Sanara MedTech,510k wound dressing footprint,Class I and wound dressing 510k,FRO,,3014521192,yes,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,removed K221098 after openFDA applicant mismatch,2026-06-26,2026-06-26
SNWV,device_manufacturer,"SANUWAVE Health, Inc.",De Novo,Class II De Novo,OOM,DEN170014,3005847119,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Kept SANUWAVE entity; supplied Shockwave/JNJ mapping conflicts with local SNWV universe record and supplied P200019/K203309 validate to Ventana/JJGC,2026-06-26,2026-06-26
STIM,device_manufacturer,"Neuronetics, Inc.",510k footprint requires verified IDs,Class II,OBP,,3005187192,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,kept Neuronetics entity; supplied NeuroSigma mapping conflicts with local STIM universe record,2026-06-26,2026-06-26
TLSI,device_manufacturer,"TriSalus Life Sciences, Inc.",510k footprint requires verified IDs,Class II,FRL,,3014954116,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Kept TriSalus entity; supplied Telos Genomics SaMD/RUO mapping conflicts with local TLSI universe record,2026-06-26,2026-06-26
TWST,infrastructure,Twist Bioscience,RUO synthetic DNA and reagents,RUO synthetic DNA and reagents,,,3013952114,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,reagent component and synthetic DNA supplier,2026-06-26,2026-06-26
UFPT,infrastructure,UFP Technologies,Contract cleanroom manufacturer,Contract manufacturer and packaging components,,FEI-only,3012456427,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,medical packaging and custom component molder,2026-06-26,2026-06-26
VCYT,centralized_ldt_clia_with_dormant_legacy_clearance,Veracyte Inc,Centralized CLIA/CAP laboratory-developed tests with dormant legacy Prosigna 510(k),CLIA molecular diagnostics; legacy Class II IVD,NYI;NSU,K130010,3009124115,legacy_only,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_with_dormant_legacy_prosigna_clearance,50,Current U.S. Prosigna service is an LDT and is not FDA-cleared; K130010/NYI/NSU is retained only as a dormant legacy NanoString clearance with Veracyte as FDA correspondent. OGT was removed because it is an unrelated oral-irrigation-kit product code. Mapped FDA events remain fully risk-gated.,2026-07-24,2026-07-23
VMD,device_manufacturer,"Viemed Healthcare, Inc.",Distribution only and DME service,DME operator and ventilator servicer,BZG,Distribution Only,3014234551,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Home respiratory equipment operator using third-party ventilators; service-exempt from product sponsor 510k/PMA ownership,2026-06-26,2026-06-26
VNRX,centralized_ldt_clia,VolitionRx,Centralized laboratory-developed diagnostic pipeline,CLIA LDT diagnostic development,,,3014210984,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,Nu.Q is treated as a centralized laboratory assay pipeline; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
VREX,device_manufacturer,Varex Imaging Corporation,510k component predicates,Class II component manufacturer,MQB,,3013214551,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Solid-state X-ray imager and digital detector component footprint; removed K193498 K173546 and K210214 after missing/applicant mismatch validation,2026-06-26,2026-06-26
VTAK,device_manufacturer,"Catheter Precision, Inc.",510k footprint requires verified IDs,Class II,DXI,,3017124119,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Kept Catheter Precision entity; supplied Viatris NDA/NDC combination-product mapping conflicts with local VTAK universe record,2026-06-26,2026-06-26
WAT,infrastructure,Waters Technologies,510k clinical LC-MS platform requires verified IDs,Class I LC-MS systems,,,1211564,yes,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,removed K201411 after openFDA applicant mismatch,2026-06-26,2026-06-26
WGS,centralized_ldt_clia,GeneDx LLC,Centralized CLIA/CAP genomic laboratory services,CLIA rare disease and WES laboratory,,,3004612984,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,Whole-exome and genome testing is treated as a centralized laboratory service; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
WRBY,device_manufacturer,Warby Parker Inc.,Class I exempt device listing,Class I,HQM;LJL,Class I Registry,3012410952,yes,manual_fda_footprint_device,manual_fda_device_footprint_no_mapped_events,55,Spectacle frame and prescription lens listing-only footprint; intentionally bypasses standard 510k/PMA endpoints,2026-06-26,2026-06-26
WST,infrastructure,West Pharmaceutical Services,Container closure DMF master tracks,Drug delivery component DMF track,,DMF,2510124,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,injectable drug packaging component supplier,2026-06-26,2026-06-26
XGN,centralized_ldt_clia,Exagen Inc,Centralized CLIA laboratory-developed tests,CLIA rheumatology diagnostic,,,3009524112,no,reviewed_fda_footprint_ldt_clia,reviewed_clia_ldt_structural_route_no_distributed_device_footprint,50,AVISE CTD is treated as a centralized laboratory assay; mapped FDA events remain fully risk-gated,2026-07-24,2026-07-23
XWEL,service_or_non_cdrh,XWELL XpresSpa,Temporary site management logs,Temporary clinical testing sites,,,,no,manual_fda_footprint_service_or_non_cdrh,manual_fda_non_cdrh_or_service_footprint,45,site management footprint without active device pipeline,2026-06-26,2026-06-26
OSUR,direct_regulated_device,"OraSure Technologies, Inc.","PMA, De Novo, and direct-manufacturer postmarket tracking",Class II and Class III infectious-disease IVD,MZO;QID;MZF,P080027;DEN190025,1450257,yes,manual_fda_footprint_device,verified_pma_p080027_mzo_denovo_den190025_qid_and_mzf_family,50,P080027/MZO and DEN190025/QID are linked to OraSure; MZF is retained as the HIV-detection family. MIB is explicitly excluded as an unrelated implanted silicone-block product code. Mapped postmarket events remain fully risk-gated.,2026-08-10,2026-08-10
CODX,direct_regulated_device,"Co-Diagnostics, Inc.","Active SARS-CoV-2 EUA and premarket-stage molecular IVD platform tracking","EUA not classified; proposed Class II platform",QJR,,,yes,manual_fda_footprint_device,verified_active_eua_qjr_no_cleared_510k_platform,50,"FDA continues to list Logix Smart under EUA under QJR. No FEI is asserted because the evidence is sponsor-level, and no OOI, 510(k), recall, or MDR fact is inferred. OUJ and QKO are unrelated to CODX's PCR footprint. The withdrawn platform 510(k) remains a premarket fact, not a clearance.",2026-08-14,2026-08-13,
XRAY,direct_regulated_device,"Dentsply Sirona, Inc.","Direct dental-device manufacturer and owner/operator 2511302 postmarket tracking","Class I and Class II dental devices",NOF;EGS;DZE;NXC;EJW;EBC;EKB;NDP,,,yes,mapping_review_required,canonical_mdr_product_family_reconciliation_required,50,"Scope covers verified Dentsply/Sirona dental CAD/CAM, handpiece, implant, aligner, orthodontic-wire, restorative, instrument, and implant-accessory codes. NMC is explicitly excluded because FDA classifies it as a ventilator-mask code. PALTOP and Keystone remain out of universe.",2026-08-10,2026-08-10,
XRAY,direct_regulated_device,"Dentsply Sirona, Inc.","Direct dental-device manufacturer and owner/operator 2511302 postmarket tracking","Class I and Class II dental devices",NOF;EGS;DZE;NXC;EJW;EBC;EKB;NDP;DZC;EFA;EFB;EFT;EIA;EJL;EKS;EKX;KMY;LQY;MQC;MUH;NHA,,,yes,manual_fda_footprint_device,canonical_product_family_mapping_complete_no_class_i_zero_deaths,50,"Canonical review covers 21 verified Dentsply/Sirona dental product codes. Clinical-recency logic uses event_date while report_date remains the PIT availability boundary. NMC, PALTOP, and Keystone remain excluded. Product-family exposure normalization stays shadow-only until governed denominators are available.",2026-08-13,2026-08-13,
ALMR,infrastructure,"Alamar Biosciences, Inc.",Research-use-only proteomics instrument platform,RUO laboratory instrumentation,,,,no,manual_fda_footprint_infrastructure,manual_fda_infrastructure_or_indirect_footprint,50,"ARGO HT and NULISA are research-use proteomics tools; do not infer a distributed clinical-device footprint without an authoritative FDA record.",2026-04-17,2026-08-21,
