"ticker","calibration_cohort","review_category","decision","decision_reason","review_owner","reviewed_at","expires_at","active","allow_portfolio_candidate_override","max_position_weight_override","source_reference","next_review_at"
"BDSX","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Biodesix lung cancer proteomic testing matrices require custom molecular pathology overrides","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=BDX-XL2 PLA 0080U mapped with assay-specific payment evidence",
"BIAF","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","BioAffinity CyPath Lung cellular analysis arrays require custom clinical assay overrides","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=CyPath Lung PLA 0406U mapped; broad coverage remains limited",
"SENS","home_chronic_care_devices_dme_drug_delivery","all","watchlist","Senseonics long-term implantable CGM single-product binary risk requires standalone checking","fda_event_risk_review","2026-06-26","2026-08-25","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Isolates binary micro-cap tracking risk",
"PSNL","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","Persona Therapeutics oncology sequencing arrays require molecular diagnostic pipeline routing","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; closed=2026-07-24; resolution=NeXT Personal indication-specific MolDX coverage documented",
"XRAY","elective_vision_dental_aesthetic_devices","manual_review_regulatory_risk","approve","Dentsply Sirona dental hardware and implant tool packaging modifications are routine","fda_event_risk_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Clears macro aesthetic equipment noise",
"VNRX","diagnostics_clinical_tests","manual_review_regulatory_risk","data_fix_needed","VolitionRx Nu.Q liquid biopsy screening lines require clinical lab fee schedule data fixes","fda_footprint_review","2026-06-26","2026-07-23","false","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Reroutes via biotech early clinical layers; biotech_taxonomy_review_required=true; biotech_primary_cohort=8",
"RXST","elective_vision_dental_aesthetic_devices","manual_review_regulatory_risk","approve","RxSight ophthalmic light delivery device optimization matches standard operational updates","fda_event_risk_review","2026-06-26","2026-07-23","true","false","","phase1_regulatory_mapping_pass_2026-06-26; notes=Clears localized ophthalmic hardware noise",
"AHCO","home_chronic_care_devices_dme_drug_delivery","all","reject","High score appears valuation-driven but safe-core and fundamental quality fail; leverage and low-margin HME distributor economics create value-trap risk","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_portfolio_safety_review",
"TCMD","home_chronic_care_devices_dme_drug_delivery","all","defer","Healthier business but still single-product/special-situation risk; defer pending concentration and reimbursement sensitivity review","portfolio_risk_review","2026-06-26","2026-07-23","true","false","","phase1_portfolio_safety_review; superseded=2026-07-23",
"DGX","healthcare_services_cro_lab_services","all","watchlist","Stable major clinical lab, but fundamental safety ratio remains below Tier-1 minimum; monitor operating metric stability before Tier-1 consideration","portfolio_safety_review","2026-06-26","2026-08-25","true","false","","phase1_p2_tier1_safety_review",
"IQV","healthcare_services_cro_lab_services","all","watchlist","CRO model remains operationally sound, but fundamental minimum and technical breakdown flags remain; monitor trend reversal and margin quality","portfolio_safety_review","2026-06-26","2026-08-25","true","false","","phase1_p2_tier1_safety_review",
"VMD","home_chronic_care_devices_dme_drug_delivery","all","watchlist","Reimbursement status is resolved; remaining block is sub-500M market cap and research-sleeve template restriction","portfolio_safety_review","2026-06-26","2026-08-25","true","false","","phase1_p2_tier1_safety_review",
"IDXX","diagnostics_clinical_tests","all","watchlist","High-quality veterinary diagnostics platform, but valuation and technical breakdown flags remain; monitor for pullback and trend repair","portfolio_safety_review","2026-06-26","2026-08-25","true","false","","phase1_p2_tier1_safety_review",
"NTRA","diagnostics_clinical_tests","all","watchlist","High-growth diagnostics platform, but valuation is below Tier-1 safety minimum; monitor entry window","portfolio_safety_review","2026-06-26","2026-08-25","true","false","","phase1_p2_tier1_safety_review",
"TMO","life_science_tools_research_instruments","all","watchlist","Institutional-grade life-science tools provider, but fundamental quality flag remains; monitor macro destocking and operating recovery","portfolio_safety_review","2026-06-26","2026-08-25","true","false","","phase1_p2_tier1_safety_review",
"SYK","orthopedics_spine_sports_implants","all","watchlist","Large diversified quality medtech, but valuation and FDA event-risk flags remain; monitor while breadth-adjusted FDA risk is evaluated","portfolio_safety_review","2026-06-26","2026-08-25","true","false","","phase1_p2_tier1_safety_review",
"GMED","orthopedics_spine_sports_implants","all","watchlist","Stable musculoskeletal and spine platform, but valuation miss remains; monitor rather than approve until valuation tolerance policy is validated","portfolio_safety_review","2026-06-26","2026-08-25","true","false","","phase1_p2_tier1_safety_review",
"TMDX","capital_equipment_procedure_platforms","all","reject","Single-vector Organ Care System platform with binary/single-product risk and cohort/template denylist; keep out of core portfolio","portfolio_safety_review","2026-06-26","2026-09-24","true","false","","phase1_p2_tier1_safety_review",
"DCTH","emerging_single_product_therapeutic_platforms","all","reject","Micro-cap single-product oncology delivery platform with valuation and market-cap failures; core portfolio ineligible","portfolio_safety_review","2026-06-26","2026-09-24","true","false","","phase1_p2_tier1_safety_review",
"PRCT","capital_equipment_procedure_platforms","all","reject","Restricted cohort/template denylist and multiple safety failures; prevent aggressive growth factor skew in core portfolio","portfolio_safety_review","2026-06-26","2026-09-24","true","false","","phase1_p2_tier1_safety_review",
"SMTI","hospital_supplies_surgical_consumables_oem","tier1_safety_failed","reject","FDA manufacturer mapping bug patched; reject now reflects real policy blocks: sub-500M market cap weak liquidity fundamental safety fail and technical breakdown","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_safety_review_2026-06-26; ROSA Brain recall noise reassigned to ZBH",
"SNWV","emerging_single_product_therapeutic_platforms","single_product_risk","reject","SANUWAVE Health is a micro-cap wound therapy platform with single-product/binary risk, market-cap and liquidity failures; not Sanara MedTech","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_safety_review_2026-06-26; corrected stale Sanara rationale",
"CNMD","orthopedics_spine_sports_implants","tier1_safety_failed","reject","Calibrated-baseline candidate but fails Tier-1 safety on fundamental quality and technical breakdown; exclude until safety overlay repairs","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_safety_review_2026-06-26",
"ATEC","orthopedics_spine_sports_implants","tier1_safety_failed","reject","Calibrated-baseline candidate but fails Tier-1 safety on fundamental quality, FDA event risk and technical breakdown; exclude until safety overlay repairs","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_safety_review_2026-06-26",
"PEN","implantable_interventional_devices_direct_payment","all","reject","Removed from active med-devices universe due to pending Boston Scientific acquisition and expected ticker retirement; no portfolio override","portfolio_risk_review","2026-06-26","2026-12-31","true","false","","phase1_p2_safety_review_2026-06-26; pending acquisition cleanup",
"ZBH","orthopedics_spine_sports_implants","all","reject","Zimmer Biomet safety block stands due FDA event-risk pressure and active Affixus nail/Vivacit-E recall concerns","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=FDA_EVENT_RISK_MAX",
"DHR","life_science_tools_research_instruments","all","watchlist","Danaher remains high-quality but current safety gate is held by premium valuation and fundamental sleeve pressure","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=VALUATION_SLEEVE_PREMIUM",
"IRTC","diagnostics_clinical_tests","all","watchlist","iRhythm ambulatory ECG growth remains monitorable, but valuation and technical breakdown keep it out of active candidate selection","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=VALUATION_SLEEVE_PREMIUM",
"AZTA","life_science_tools_research_instruments","all","watchlist","Azenta remains a watchlist name pending life-science tools inventory normalization and technical trend repair","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=TECHNICAL_BREAKDOWN_HOLD",
"INFU","home_chronic_care_devices_dme_drug_delivery","all","watchlist","InfuSystem remains research-tier due sub-500M market cap, weak liquidity, and home-care template restriction","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=MICRO_CAP_COHORT_RESTRICTION",
"ATR","hospital_supplies_surgical_consumables_oem","all","watchlist","AptarGroup remains watchlist while transient ratio deviation and technical breakdown normalize","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=TRANSIENT_RATIO_DEVIATION",
"INGN","home_chronic_care_devices_dme_drug_delivery","all","watchlist","Inogen remains watchlist due sub-500M market cap and research-sleeve template restriction","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=MICRO_CAP_COHORT_RESTRICTION",
"PROF","emerging_single_product_therapeutic_platforms","all","reject","Profound Medical excluded for TULSA-PRO single-vector concentration risk plus market-cap, liquidity, valuation, and fundamental failures","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=SINGLE_PRODUCT_BINARY_RISK",
"CRL","healthcare_services_cro_lab_services","all","watchlist","Charles River remains watchlist pending recovery from cyclical biotech spending slowdown and fundamental quality repair","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=CYCLICAL_BIOTECH_SLOWDOWN",
"INSP","implantable_interventional_devices_direct_payment","all","reject","Inspire excluded for concentrated sleep-apnea single-device exposure, binary risk, FDA event-risk pressure, and technical breakdown","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=SINGLE_PRODUCT_BINARY_RISK",
"GH","diagnostics_clinical_tests","all","watchlist","Guardant Health remains watchlist due cash burn, valuation pressure, and durable-growth safety failure","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=CASH_BURN_RATE_HIGH",
"UFPT","hospital_supplies_surgical_consumables_oem","all","watchlist","UFP Technologies remains watchlist while custom component/OEM margin quality and fundamental ratio normalize","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=TRANSIENT_RATIO_DEVIATION",
"RVTY","life_science_tools_research_instruments","all","watchlist","Revvity remains watchlist pending diagnostics instrument destocking and fundamental quality repair","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=TRANSIENT_RATIO_DEVIATION",
"HAE","hospital_supplies_surgical_consumables_oem","all","watchlist","Haemonetics remains watchlist while plasma software integration and fundamental quality metrics stabilize","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=TRANSIENT_RATIO_DEVIATION",
"AORT","implantable_interventional_devices_direct_payment","all","reject","Artivion excluded due persistent fundamental, valuation, and technical safety failures","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=LONG_TERM_TREND_BREAKDOWN",
"AVTR","life_science_tools_research_instruments","all","reject","Avantor excluded due confirmed value-trap profile, weak fundamental quality, leverage concern, and technical breakdown","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=VALUE_TRAP_CONFIRMED",
"WAT","life_science_tools_research_instruments","all","watchlist","Waters remains watchlist pending mass spectrometry/instrument growth normalization and valuation repair","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=VALUATION_GROWTH_MISMATCH",
"MTD","life_science_tools_research_instruments","all","watchlist","Mettler-Toledo remains watchlist due premium valuation sleeve and fundamental safety threshold pressure","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=VALUATION_SLEEVE_PREMIUM",
"STE","hospital_supplies_surgical_consumables_oem","all","watchlist","STERIS remains watchlist pending healthcare sterilization capital spending and technical trend repair","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=TECHNICAL_BREAKDOWN_HOLD",
"NVCR","emerging_single_product_therapeutic_platforms","all","reject","NovoCure excluded for Tumor Treating Fields single-product binary clinical uncertainty and valuation/fundamental safety failures","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=SINGLE_PRODUCT_BINARY_RISK",
"CVRX","implantable_interventional_devices_direct_payment","all","reject","CVRx excluded due extreme micro-cap, weak liquidity, binary single-product exposure, valuation, fundamental, and technical failures","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=MICRO_CAP_LIQUIDITY_FAIL",
"CBLL","capital_equipment_procedure_platforms","all","watchlist","CeriBell remains research-tier due cohort denylist, template-not-safe-core, template-not-tier1, inverse-core template, and fundamental/valuation failures","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=TEMPLATE_DENYLIST_RESEARCH_TIER",
"BIO","life_science_tools_research_instruments","all","watchlist","Bio-Rad remains watchlist pending life-science infrastructure inventory stabilization and fundamental ratio repair","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=TRANSIENT_RATIO_DEVIATION",
"BVS","orthopedics_spine_sports_implants","all","watchlist","Bioventus remains watchlist pending orthobiologic pipeline/cohort volume monitoring and fundamental quality repair","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=COHORT_ALIGNMENT_REVIEW",
"RCEL","hospital_supplies_surgical_consumables_oem","all","watchlist","AVITA Medical remains watchlist; current block is fundamental, valuation, market-cap, liquidity, and technical safety failure rather than biotech routing","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch2_review_2026-06-26; reason_code=MICRO_CAP_LIQUIDITY_AND_VALUATION_FAIL",
"SIBN","orthopedics_spine_sports_implants","all","reject","SI-BONE excluded because current orthopedics safety block is driven by fundamental and valuation failures","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch3_review_2026-06-26; reason_code=FUNDAMENTAL_MARGIN_EROSION",
"BFLY","capital_equipment_procedure_platforms","all","reject","Butterfly Network excluded for hand-held ultrasound single-vector exposure, binary risk, template denylist, and cash-burn safety pressure","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch3_review_2026-06-26; reason_code=SINGLE_PRODUCT_BINARY_RISK",
"KRMD","home_chronic_care_devices_dme_drug_delivery","all","watchlist","KORU Medical remains watchlist due sub-500M market cap, weak liquidity, and home chronic care research-cohort template restriction","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch3_review_2026-06-26; reason_code=MICRO_CAP_COHORT_RESTRICTION",
"VTAK","emerging_single_product_therapeutic_platforms","all","reject","Catheter Precision excluded for emerging single-product and binary platform risk plus market-cap and technical safety failures","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch3_review_2026-06-26; reason_code=SINGLE_PRODUCT_BINARY_RISK",
"BRKR","life_science_tools_research_instruments","all","watchlist","Bruker remains watchlist due premium mass-spectrometry valuation sleeve and fundamental safety pressure","portfolio_risk_review","2026-06-26","2026-08-25","true","false","","phase1_p2_batch3_review_2026-06-26; reason_code=VALUATION_SLEEVE_PREMIUM",
"CLPT","implantable_interventional_devices_direct_payment","all","reject","ClearPoint Neuro excluded for concentrated intraoperative neuro-navigation platform risk plus fundamental valuation and technical safety failures","portfolio_risk_review","2026-06-26","2026-09-24","true","false","","phase1_p2_batch3_review_2026-06-26; reason_code=SINGLE_PRODUCT_BINARY_RISK",
