ticker,handling_type,parent_ticker,skip_sec_network,reporting_profile,reporting_standard,fallback_status,financial_confidence,usable_xbrl_flag,review_reason,notes,valid_from,reviewed_at
GEOY,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"GeoEye submissions endpoint unavailable in modern SEC JSON API.",2026-07-01,2026-07-02
GR,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Goodrich legacy financials require archive handling.",2026-07-01,2026-07-02
HAWK,recent_public_stub,,false,RECENT_PUBLIC_STUB,recent_public_stub,stub_period_limited,0.35,0,recent_public_stub_limited_annual_history,"Recent public/development-stage issuer; force S-1/S-4/424B lookback extraction and keep annual-stub metrics separate from normal annual/TTM fundamentals.",2026-07-02,2026-07-02
HRLY,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Herley submissions endpoint unavailable in modern SEC JSON API.",2026-07-01,2026-07-02
HRS,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Harris companyfacts endpoint unavailable in modern SEC JSON API.",2026-07-01,2026-07-02
KEYW,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"KEYW standalone history requires archive handling.",2026-07-01,2026-07-02
LDSH,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Ladish standalone history requires archive handling.",2026-07-01,2026-07-02
LLAP,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Terran Orbital companyfacts endpoint unavailable.",2026-07-01,2026-07-02
MANT,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"ManTech standalone history requires archive handling.",2026-07-01,2026-07-02
MDA,fpi_hybrid_loaded,,false,FPI_HYBRID_LOADED,fpi_hybrid_text_table,fpi_hybrid_loaded,0.55,0,,"Foreign private issuer with CAD SEC archive text-table extraction, PIT FX conversion, and valid annual/TTM fundamentals loaded.",2026-07-02,2026-07-02
MRLN,recent_public_stub,,false,RECENT_PUBLIC_STUB,recent_public_stub,stub_period_limited,0.35,0,recent_public_stub_limited_annual_history,"Recent public/de-SPAC issuer; force S-1/S-4/424B lookback extraction and keep annual-stub metrics separate from normal annual/TTM fundamentals.",2026-07-02,2026-07-02
ORB,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Orbital Sciences standalone history requires archive handling.",2026-07-01,2026-07-02
ORBC,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"ORBCOMM companyfacts endpoint unavailable.",2026-07-01,2026-07-02
PAE,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"PAE companyfacts endpoint unavailable.",2026-07-01,2026-07-02
RTI,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"RTI standalone history requires archive handling.",2026-07-01,2026-07-02
RTN,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Raytheon Company submissions endpoint unavailable under legacy CIK in modern SEC JSON API.",2026-07-01,2026-07-02
SPCX,recent_ipo_development_stage,,false,RECENT_IPO_DEVELOPMENT_STAGE,recent_public_development_stage,neutral_low_confidence,0.30,0,recent_ipo_limited_public_filing_history,"Public recent-IPO/development-stage issuer; attempt SEC ingestion, but keep rank readiness governed by lifecycle-stage and filing-history gates.",2026-07-01,2026-07-02
STST,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Argon ST companyfacts endpoint unavailable.",2026-07-01,2026-07-02
VORB,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Virgin Orbit companyfacts endpoint unavailable after bankruptcy/delisting.",2026-07-01,2026-07-02
WAIR,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Wesco Aircraft companyfacts endpoint unavailable.",2026-07-01,2026-07-02
XLS,legacy_raw_archive_required,,false,SEC_RAW_ARCHIVE_REQUIRED,legacy_sec_archive,raw_archive_required,0.20,0,legacy_or_delisted_sec_archive_required,"Exelis companyfacts endpoint unavailable.",2026-07-01,2026-07-02
YSS,recent_public_stub,,false,RECENT_PUBLIC_STUB,recent_public_stub,stub_period_limited,0.35,0,recent_public_stub_limited_annual_history,"Recent public issuer; force S-1/424B lookback extraction and keep annual-stub metrics separate from normal annual/TTM fundamentals.",2026-07-02,2026-07-02
AVEX,recent_ipo_development_stage,,false,RECENT_IPO_DEVELOPMENT_STAGE,recent_public_development_stage,neutral_low_confidence,0.30,0,recent_ipo_limited_public_filing_history,"Recent IPO; attempt SEC S-1/424B audited lookback extraction for predecessor financial statements.",2026-07-02,2026-07-02
EVEX,recent_ipo_development_stage,ERJ,false,RECENT_IPO_DEVELOPMENT_STAGE,recent_public_development_stage,neutral_low_confidence,0.30,0,recent_ipo_limited_public_filing_history,"De-SPAC/carve-out issuer; attempt SEC S-4/S-1 lookback extraction, with Embraer parent history treated separately if needed.",2026-07-02,2026-07-02
FJET,recent_ipo_development_stage,,false,RECENT_IPO_DEVELOPMENT_STAGE,recent_public_development_stage,neutral_low_confidence,0.30,0,recent_ipo_limited_public_filing_history,"Recent IPO; attempt SEC S-1/424B audited lookback extraction for available private-company periods.",2026-07-02,2026-07-02
HOVR,recent_ipo_development_stage,,false,RECENT_IPO_DEVELOPMENT_STAGE,recent_public_development_stage,neutral_low_confidence,0.30,0,recent_ipo_limited_public_filing_history,"De-SPAC issuer; attempt SEC S-4/S-1 lookback extraction for legacy Horizon Aircraft financials.",2026-07-02,2026-07-02
