historical_ticker,price_source_symbol,company_name,exchange,sector,cohort_id,cohort,industry,country,currency,security_type,listing_status,membership_status,index_or_etf,eligibility_basis,include_in_historical_universe,include_in_live_universe,calibration_eligible,calibration_status,exit_type,terminal_type,acquirer_or_counterparty,successor_ticker,exit_year,last_trade_date,terminal_value,terminal_currency,confidence,membership_source_url,event_source_url,notes
SVU,,SUPERVALU,NYSE,Consumer Defensive,consumer_staples_distribution_retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600; former S&P 500 and XLP,historical_index_or_sector_etf_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,United Natural Foods,,2018,,,USD,high,https://investor.bankofamerica.com/regulatory-and-other-filings/all-sec-filings/content/0001193125-08-101064/0001193125-08-101064.pdf,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20181018-802758/802758_ttgtfbc26.pdf,Verify final cash settlement and last trade date
CORE,,Core-Mark Holding Company,Nasdaq,Consumer Defensive,consumer_staples_distribution_retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600,business_cohort_override_plus_index_membership,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Performance Food Group,,2021,,,USD,high,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20210830-1442976/1442976_4cbb64core44.pdf,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20210830-1442976/1442976_4cbb64core44.pdf,Historical GICS was Consumer Discretionary; retained under the business-defined staples distribution cohort
RAI,,Reynolds American,NYSE,Consumer Defensive,household_personal_tobacco,Household Personal & Tobacco,Household Personal & Tobacco,United States,USD,Common Stock,delisted,historical_verified,S&P 500; XLP,historical_index_or_sector_etf_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash_and_stock,British American Tobacco,BTI,2017,,,USD,high,https://investor.bankofamerica.com/regulatory-and-other-filings/all-sec-filings/content/0001193125-08-101064/0001193125-08-101064.pdf,https://press.spglobal.com/2017-07-19-MGM-Resorts-ResMed-Packaging-Corporation-of-America-A-O-Smith-and-Duke-Realty-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400,Map cash and BTI share consideration into the successor lineage
LO,,Lorillard,NYSE,Consumer Defensive,household_personal_tobacco,Household Personal & Tobacco,Household Personal & Tobacco,United States,USD,Common Stock,delisted,historical_verified,S&P 500,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash_and_stock,Reynolds American,RAI,2015,,,USD,high,https://press.spglobal.com/2015-06-09-Qorvo-Set-to-Join-the-S-P-500-WisdomTree-Investments-to-be-Added-to-the-S-P-MidCap-400,https://press.spglobal.com/2015-06-09-Qorvo-Set-to-Join-the-S-P-500-WisdomTree-Investments-to-be-Added-to-the-S-P-MidCap-400,Map the RAI successor and later BTI conversion through the full lineage
AVP,,Avon Products,NYSE,Consumer Defensive,household_personal_tobacco,Household Personal & Tobacco,Household Personal & Tobacco,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600; former S&P 500 and XLP,historical_index_or_sector_etf_member,1,0,0,pending_price_and_terminal_reconciliation,merger_successor,successor_security,Natura &Co,NTCO,2020,,,USD,high,https://investor.bankofamerica.com/regulatory-and-other-filings/all-sec-filings/content/0001193125-08-101064/0001193125-08-101064.pdf,https://press.spglobal.com/2019-12-30-NexPoint-Residential-Trust-and-Meritor-Set-to-Join-S-P-SmallCap-600,Map Natura consideration and the later NTCO listing history before calibration
ZEP,,Zep,NYSE,Consumer Defensive,household_personal_tobacco,Household Personal & Tobacco,Household Personal & Tobacco,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,take_private,cash,New Mountain Capital,,2015,,,USD,high,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/196557_rockzep46.pdf,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/196557_rockzep46.pdf,Verify final cash settlement and last trade date
VGR,,Vector Group,NYSE,Consumer Defensive,household_personal_tobacco,Household Personal & Tobacco,Household Personal & Tobacco,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,JT Group,,2024,,,USD,high,https://press.spglobal.com/2024-10-04-Hims-Hers-Health-Set-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2024-10-04-Hims-Hers-Health-Set-to-Join-S-P-SmallCap-600,Verify final cash settlement and last trade date
NTY,,NBTY,NYSE,Consumer Defensive,household_personal_tobacco,Household Personal & Tobacco,Household Personal & Tobacco,United States,USD,Common Stock,delisted,historical_verified,S&P MidCap 400,historical_index_member_and_business_fit,1,0,0,pending_price_and_terminal_reconciliation,take_private,cash,Carlyle Group,,2010,,,USD,medium,https://www.finanznachrichten.de/nachrichten-2010-07/17412715-standard-poor-s-announces-changes-to-u-s-indices-008.htm,https://www.finanznachrichten.de/nachrichten-2010-07/17412715-standard-poor-s-announces-changes-to-u-s-indices-008.htm,Retained because the active cohort includes nutrition and direct-selling wellness companies
K,,Kellanova,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P 500,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Mars,,2025,,,USD,high,https://press.spglobal.com/2025-12-08-Ares-Management-Set-to-Join-S-P-500-Sezzle-and-Vital-Farms-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2025-12-08-Ares-Management-Set-to-Join-S-P-500-Sezzle-and-Vital-Farms-to-Join-S-P-SmallCap-600,Verify final cash settlement and last trade date
TWNK,,Hostess Brands,Nasdaq,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash_and_stock,J.M. Smucker,SJM,2023,,,USD,high,https://press.spglobal.com/2023-11-02-Burlington-Stores-Set-to-Join-S-P-MidCap-400-Envestnet-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2023-11-02-Burlington-Stores-Set-to-Join-S-P-MidCap-400-Envestnet-to-Join-S-P-SmallCap-600,Reconcile cash and SJM share consideration before calibration
SAFM,,Sanderson Farms,Nasdaq,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P MidCap 400,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Cargill and Continental Grain,,2022,,,USD,high,https://press.spglobal.com/2022-07-22-MP-Materials-Set-to-Join-S-P-MidCap-400,https://press.spglobal.com/2022-07-22-MP-Materials-Set-to-Join-S-P-MidCap-400,Verify final cash settlement and last trade date
DF,DFODQ-202106,Dean Foods,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600; former S&P 500 and XLP,historical_index_or_sector_etf_member,1,0,0,pending_price_and_terminal_reconciliation,bankruptcy,unresolved,Chapter 11 and asset sales,,2019,,,USD,high,https://investor.bankofamerica.com/regulatory-and-other-filings/all-sec-filings/content/0001193125-08-101064/0001193125-08-101064.pdf,https://press.spglobal.com/2019-11-12-Kinsale-Capital-Group-Set-to-Join-S-P-SmallCap-600,Norgate asset 139475 continues the NYSE DF history under DFODQ-202106 through the OTC cancellation; do not assume zero and verify distributions recoveries and terminal value
LNCE,,Snyder's-Lance,Nasdaq,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P MidCap 400,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Campbell Soup,,2018,,,USD,high,https://press.spglobal.com/2018-03-21-Evercore-Set-to-Join-the-S-P-MidCap-400-MGP-Ingredients-and-Tabula-Rasa-HealthCare-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2018-03-21-Evercore-Set-to-Join-the-S-P-MidCap-400-MGP-Ingredients-and-Tabula-Rasa-HealthCare-to-Join-S-P-SmallCap-600,Verify final cash settlement and last trade date
WWAV,,WhiteWave Foods,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P MidCap 400,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Danone,,2017,,,USD,high,https://press.spglobal.com/2017-04-06-United-Bankshares-Set-to-Join-S-P-MidCap-400-and-Oclaro-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2017-04-06-United-Bankshares-Set-to-Join-S-P-MidCap-400-and-Oclaro-to-Join-S-P-SmallCap-600,Verify final cash settlement and last trade date
MJN,,Mead Johnson Nutrition,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P 500,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Reckitt Benckiser,,2017,,,USD,high,https://press.spglobal.com/2017-06-12-Everest-Re-Group-Set-to-Join-S-P-500-Pinnacle-Financial-Partners-to-Join-S-P-MidCap-400-and-Armada-Hoffler-Properties-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2017-06-12-Everest-Re-Group-Set-to-Join-S-P-500-Pinnacle-Financial-Partners-to-Join-S-P-MidCap-400-and-Armada-Hoffler-Properties-to-Join-S-P-SmallCap-600,Verify final cash settlement and last trade date
DMND,,Diamond Foods,Nasdaq,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash_and_stock,Snyder's-Lance,LNCE,2016,,,USD,high,https://press.spglobal.com/2016-02-23-Snyders-Lance-Set-to-Join-the-S-P-MidCap-400-Trex-AMAG-Pharmaceuticals-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2016-02-23-Snyders-Lance-Set-to-Join-the-S-P-MidCap-400-Trex-AMAG-Pharmaceuticals-to-Join-S-P-SmallCap-600,Map cash and LNCE consideration through the later Campbell transaction
KRFT,,Kraft Foods Group,Nasdaq,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P 500,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,merger_successor,cash_and_stock,Kraft Heinz,KHC,2015,,,USD,high,https://press.spglobal.com/2012-09-25-Kraft-Foods-Group-Set-to-Join-the-S-P-500-Alpha-Natural-Resources-InterDigital-Genesee-Wyoming-to-Join-the-S-P-MidCap-400-and-Korn-Ferry-to-Join-the-S-P-SmallCap-600,https://press.spglobal.com/2012-09-25-Kraft-Foods-Group-Set-to-Join-the-S-P-500-Alpha-Natural-Resources-InterDigital-Genesee-Wyoming-to-Join-the-S-P-MidCap-400-and-Korn-Ferry-to-Join-the-S-P-SmallCap-600,Include the special cash dividend and KHC successor shares in total return
HSH,,Hillshire Brands,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P MidCap 400,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Tyson Foods,,2014,,,USD,high,https://press.spglobal.com/2014-08-11-Ultimate-Software-Group-Set-to-Join-the-S-P-MidCap-400-and-Consolidated-Communications-to-Join-the-S-P-SmallCap-600,https://press.spglobal.com/2014-08-11-Ultimate-Software-Group-Set-to-Join-the-S-P-MidCap-400-and-Consolidated-Communications-to-Join-S-P-SmallCap-600,Verify final cash settlement and last trade date
BNNY,,Annie's,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P SmallCap 600,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,General Mills,,2014,,,USD,high,https://press.spglobal.com/2013-09-23-Cubist-Pharmaceuticals-Science-Applications-International-Set-to-Join-the-S-P-MidCap-400-Annies-Barnes-Noble-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2013-09-23-Cubist-Pharmaceuticals-Science-Applications-International-Set-to-Join-the-S-P-MidCap-400-Annies-Barnes-Noble-to-Join-S-P-SmallCap-600,Verify final cash settlement and last trade date
RAH,,Ralcorp Holdings,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P MidCap 400,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Conagra Brands,,2013,,,USD,high,https://press.spglobal.com/2013-01-23-Extra-Space-Storage-Set-to-Join-the-S-P-MidCap-400-Dorman-Products-Era-Group-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2013-01-23-Extra-Space-Storage-Set-to-Join-the-S-P-MidCap-400-Dorman-Products-Era-Group-to-Join-S-P-SmallCap-600,Verify final cash settlement and last trade date
HNZ,,H.J. Heinz Company,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P 500; XLP,historical_index_or_sector_etf_member,1,0,0,pending_price_and_terminal_reconciliation,take_private,cash,Berkshire Hathaway and 3G Capital,,2013,,,USD,high,https://investor.bankofamerica.com/regulatory-and-other-filings/all-sec-filings/content/0001193125-08-101064/0001193125-08-101064.pdf,https://press.spglobal.com/2013-06-03-General-Motors-Set-to-Join-S-P-100-500-American-International-Group-to-Join-S-P-100,Verify final cash settlement and last trade date
WWY,,Wm. Wrigley Jr. Company,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P 500; XLP,historical_index_or_sector_etf_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,cash,Mars,,2008,,,USD,high,https://investor.bankofamerica.com/regulatory-and-other-filings/all-sec-filings/content/0001193125-08-101064/0001193125-08-101064.pdf,https://www.sec.gov/Archives/edgar/data/108601/000119312508208037/dex991.htm,SEC source states trading ceased on 2008-10-06; still reconcile the price series through that date
OAT,,The Quaker Oats Company,NYSE,Consumer Defensive,packaged_foods_agricultural_products,Packaged Foods & Agricultural Products,Packaged Foods & Agricultural Products,United States,USD,Common Stock,delisted,historical_verified,S&P 500,historical_index_member,1,0,0,pending_price_and_terminal_reconciliation,strategic_acquisition,stock,PepsiCo,PEP,2001,,,USD,high,https://www.sec.gov/Archives/edgar/data/77476/000095010301501343/aug2701_8k.htm,https://www.sec.gov/Archives/edgar/data/77476/000095010301501343/aug2701_8k.htm,Map 2.3 PEP shares per OAT share plus cash for fractional shares
