ticker,original_discovery_url,replacement_discovery_url,replacement_approved_domain,replacement_target_domain,resolution_action,unresolved_disposition,fallback_source_lane,review_status,reviewed_on,transport_security_status,source_basis,source_id,rationale
HTCO,https://htcointl.com/,http://www.htcointl.com/,htcointl.com,htcointl.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_REVIEWED_ISSUER_HTTP,APPROVED,2026-07-27,HTTP_ONLY_REVIEW_REQUIRED,OFFICIAL_ISSUER_SITE_DIRECT_PROBE,http://www.htcointl.com/,The issuer host is reachable only over HTTP and remains retrieval-review required
JBHT,https://jbhunt.com/,https://investor.jbhunt.com/,investor.jbhunt.com,jbhunt.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://investor.jbhunt.com/,The consumer root timed out and the official investor site provides financial reports
NCT,https://intercontcayman.com/,https://www.intercontcayman.com/financials/annual-reports,intercontcayman.com,intercontcayman.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID_BUT_REQUEST_TIMEOUT,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://www.intercontcayman.com/financials/annual-reports,The bare host did not resolve and the official annual reports page is the reviewed source
PAC,https://aeropuertosgap.com.mx/,https://www.aeropuertosgap.com.mx/en/investors.html,aeropuertosgap.com.mx,aeropuertosgap.com.mx,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_MEXICAN_EXCHANGE_RELEASES,APPROVED,2026-07-27,TLS_CERTIFICATE_CHAIN_INVALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://www.aeropuertosgap.com.mx/en/investors.html,The official investor page is correct but its certificate chain fails strict validation and TLS bypass is prohibited
PAMT,https://pamtransport.com/,https://www.pamtransport.com/,pamtransport.com,pamtransport.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_8K_EXHIBITS,APPROVED,2026-07-27,TLS_CERTIFICATE_CHAIN_INVALID,OFFICIAL_ISSUER_DOMAIN_REVIEW,https://www.pamtransport.com/,The issuer domain certificate chain fails strict validation and the SEC filing lane remains authoritative
PSIG,https://profitsail.com/,https://www.profitsail.com/,profitsail.com,profitsail.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_SITE,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_DIRECT_PROBE,https://www.profitsail.com/,The canonical www issuer root returned successfully while the bare host timed out
SKYW,https://skywest.com/,https://inc.skywest.com/investor-relations/,inc.skywest.com,skywest.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_8K_EXHIBITS,APPROVED,2026-07-27,TLS_CERTIFICATE_CHAIN_INVALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://inc.skywest.com/investor-relations/,The official investor site certificate chain fails strict validation and TLS bypass is prohibited
SOAR,https://flyvolato.com/,https://ir.flyvolato.com/,ir.flyvolato.com,flyvolato.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://ir.flyvolato.com/,The sealed root redirected outside its domain and the official investor site is the reviewed replacement
SWFT,https://web.archive.org/cdx/search/cdx?url=swifttrans.com%2F%2A&output=json&filter=statuscode:200&filter=mimetype:text/html&collapse=digest&from=1990&to=2008,,,,RETRY_ARCHIVE_WITH_YEAR_SLICES,REVIEWED_ARCHIVE_INDEX_ACCESS_LIMITATION,SEC_LEGACY_FILINGS_AND_YEAR_SLICED_ARCHIVE,APPROVED,2026-07-27,TLS_VALID,DP6O_FAILED_ARCHIVE_INDEX_DIAGNOSTIC,transportation_primary_document_discovery_pages.csv,The complete-domain CDX calls timed out and require bounded year slices
SWVL,https://swvl.com/,https://www.swvl.com/financial-reports,swvl.com,swvl.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_RELEASE_EXHIBITS,APPROVED,2026-07-27,TLS_PROTOCOL_FAILURE,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://www.swvl.com/financial-reports,The official reports page is correct but the host fails the pipeline TLS handshake and no insecure bypass is allowed
TGP,https://web.archive.org/cdx/search/cdx?url=teekay.com%2F%2A&output=json&filter=statuscode:200&filter=mimetype:text/html&collapse=digest&from=2005&to=2023,,,,RETRY_ARCHIVE_WITH_YEAR_SLICES,REVIEWED_ARCHIVE_INDEX_ACCESS_LIMITATION,SEC_LEGACY_FILINGS_AND_YEAR_SLICED_ARCHIVE,APPROVED,2026-07-27,TLS_VALID,DP6O_FAILED_ARCHIVE_INDEX_DIAGNOSTIC,transportation_primary_document_discovery_pages.csv,The complete-domain CDX calls timed out and require bounded year slices
UAL,https://unitedcontinentalholdings.com/,https://ir.united.com/,ir.united.com,united.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID_BUT_CONNECTION_RESET,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://ir.united.com/,The former corporate-name domain is stale and the official United investor site is the reviewed replacement
UNP,https://up.com/,https://investor.unionpacific.com/,investor.unionpacific.com,unionpacific.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID_BUT_REQUEST_TIMEOUT,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://investor.unionpacific.com/,The railroad consumer root timed out and the official investor site is the reviewed replacement
UPS,https://ups.com/,https://investors.ups.com/,investors.ups.com,ups.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://investors.ups.com/,The global consumer root timed out and the official investor site returned successfully
WLFC,https://willislease.com/,https://www.wlfc.global/,wlfc.global,wlfc.global,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_SITE,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_REDIRECT_VERIFIED_BY_PRIMARY_PAGE,https://www.wlfc.global/,The sealed legacy domain redirected outside its domain and the official successor issuer site is the reviewed replacement
ZIM,https://zim.com/,https://investors.zim.com/,investors.zim.com,zim.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://investors.zim.com/,The global shipping site returned access denial and the official investor site returned successfully
ZTO,https://zto.com/,https://zto.investorroom.com/,zto.investorroom.com,zto.investorroom.com,REPLACE_DISCOVERY_ROOT,REVIEWED_PRIMARY_SITE_ACCESS_LIMITATION,SEC_FILINGS_AND_ISSUER_IR,APPROVED,2026-07-27,TLS_VALID,OFFICIAL_ISSUER_SITE_VERIFIED_BY_PRIMARY_PAGE,https://zto.investorroom.com/,The corporate host failed legacy TLS negotiation and the official investor room returned successfully
