policy_version,metric_id,comparison_domain_id,applicable_tickers,minimum_accepted_fraction,minimum_accepted_breadth,calibration_eligibility,normalization_scope,notes
transportation_surface_metric_domains_v1,shipment_or_load_growth,truckload_intermodal,JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Truckload load growth
transportation_surface_metric_domains_v1,shipment_or_load_growth,asset_light_logistics,CHRW|HUBG|LSTR,0.75,3,CANDIDATE,within_metric_domain,Brokerage and intermodal load growth
transportation_surface_metric_domains_v1,surface_volume_growth,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Derived from accepted native rail volume measures
transportation_surface_metric_domains_v1,surface_volume_growth,truckload_intermodal,HUBG|JBHT,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two intermodal issuers cannot support independent calibration
transportation_surface_metric_domains_v1,pricing_or_yield_growth,ltl_carriers,ARCB|ODFL|SAIA|XPO,0.75,3,CANDIDATE,within_metric_domain,LTL yield growth
transportation_surface_metric_domains_v1,pricing_or_yield_growth,truckload_intermodal,KNX|SNDR,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two applicable truckload issuers
transportation_surface_metric_domains_v1,pricing_or_yield_growth,integrated_parcel,FDX|UPS,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two issuers cannot support independent calibration
transportation_surface_metric_domains_v1,fuel_surcharge_revenue_ratio,rail_networks,CSX|NSC|UNP,0.75,3,CANDIDATE,within_metric_domain,Applicable U.S. rail issuers
transportation_surface_metric_domains_v1,fuel_surcharge_revenue_ratio,ltl_carriers,ARCB|ODFL|SAIA,0.75,3,CANDIDATE,within_metric_domain,LTL fuel-surcharge comparison
transportation_surface_metric_domains_v1,fuel_surcharge_revenue_ratio,truckload_intermodal,JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Truckload fuel-surcharge comparison
transportation_surface_metric_domains_v1,fuel_surcharge_revenue_ratio,integrated_parcel,FDX|UPS,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two issuers cannot support independent calibration
transportation_surface_metric_domains_v1,logistics_net_revenue_margin,asset_light_logistics,CHRW|EXPD|HUBG|LSTR,0.75,3,CANDIDATE,within_metric_domain,Comparable brokerage and forwarding net-revenue economics
transportation_surface_metric_domains_v1,logistics_net_revenue_margin,ltl_carriers,ARCB,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Issuer segment disclosure only
transportation_surface_metric_domains_v1,logistics_net_revenue_margin,truckload_intermodal,JBHT,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Issuer segment disclosure only
transportation_surface_metric_domains_v1,rail_carload_growth,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Class I rail carload growth
transportation_surface_metric_domains_v1,rail_intermodal_volume_growth,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Class I rail intermodal volume growth
transportation_surface_metric_domains_v1,rail_intermodal_volume_growth,truckload_intermodal,HUBG|JBHT,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two intermodal issuers cannot support independent calibration
transportation_surface_metric_domains_v1,revenue_ton_miles_growth,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Class I rail traffic growth
transportation_surface_metric_domains_v1,rail_fuel_efficiency,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Class I rail fuel efficiency
transportation_surface_metric_domains_v1,rail_network_velocity,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Class I rail network velocity
transportation_surface_metric_domains_v1,terminal_dwell_time,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Class I rail terminal dwell
transportation_surface_metric_domains_v1,driver_turnover_rate,truckload_intermodal,JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Truckload driver turnover
transportation_surface_metric_domains_v1,driver_turnover_rate,ltl_carriers,ARCB,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Single applicable LTL issuer
transportation_surface_metric_domains_v1,empty_mile_ratio,truckload_intermodal,JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Truckload empty-mile comparison
transportation_surface_metric_domains_v1,empty_mile_ratio,ltl_carriers,ODFL,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Single applicable LTL issuer
transportation_surface_metric_domains_v1,equipment_utilization,truckload_intermodal,HUBG|JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Truckload and intermodal equipment utilization
transportation_surface_metric_domains_v1,equipment_utilization,rail_networks,CSX|UNP,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two applicable rail issuers
transportation_surface_metric_domains_v1,revenue_per_tractor_or_power_unit,truckload_intermodal,JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Truckload tractor productivity
transportation_surface_metric_domains_v1,revenue_per_tractor_or_power_unit,ltl_carriers,ARCB,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Single applicable LTL issuer
transportation_surface_metric_domains_v1,surface_asset_age,rail_networks,CNI|CP|CSX,0.75,3,CANDIDATE,within_metric_domain,Applicable rail asset-age disclosures
transportation_surface_metric_domains_v1,surface_asset_age,ltl_carriers,ODFL|SAIA,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two applicable LTL issuers
transportation_surface_metric_domains_v1,surface_asset_age,truckload_intermodal,JBHT|KNX|SNDR,0.75,3,CANDIDATE,within_metric_domain,Truckload equipment age
transportation_surface_metric_domains_v1,insurance_claims_cost_ratio,ltl_carriers,ARCB|ODFL|SAIA,0.75,3,CANDIDATE,within_metric_domain,LTL insurance and claims cost comparison
transportation_surface_metric_domains_v1,insurance_claims_cost_ratio,truckload_intermodal,KNX|SNDR,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two applicable truckload issuers
transportation_surface_metric_domains_v1,insurance_claims_cost_ratio,asset_light_logistics,LSTR,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Single applicable asset-light issuer
transportation_surface_metric_domains_v1,service_reliability_rate,rail_networks,CNI|CP|CSX|NSC|UNP,0.75,4,CANDIDATE,within_metric_domain,Class I rail service reliability
transportation_surface_metric_domains_v1,service_reliability_rate,integrated_parcel,FDX|UPS,0.75,3,DIAGNOSTIC_ONLY,within_metric_domain,Two issuers cannot support independent calibration
