registry_key,metric_key,regime_block,source_name,source_dataset,source_series_id,ref_area,frequency,seasonal_adjustment,units,vintage_policy,update_cadence,history_start_date,revision_window_days,source_priority,worker_hint,enabled,source_params_json,notes
global_wheat,global_wheat,external_shock,fred_alfred,fred,PWHEAMTUSDM,INT,monthly,nsa,usd per metric ton,none,monthly,2000-01-01,60,1,1,1,{},Global wheat price proxy in FRED.
us_nominal_broad_dollar,us_nominal_broad_dollar,external_shock,fred_alfred,fred,DTWEXBGS,USA,daily,nsa,index,none,daily,2000-01-01,30,1,1,1,{},Nominal broad U.S. dollar index.
us_real_broad_dollar,us_real_broad_dollar,external_shock,fred_alfred,fred,RTWEXBGS,USA,monthly,nsa,index,none,monthly,2000-01-01,60,1,1,1,{},Real broad U.S. dollar index.
us_cli_oecd_sdmx,us_cli,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,USA.M.LI.IX._Z.AA.IX._Z.H,USA,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}",Validated OECD CLI key for the United States.
us_bci_oecd_sdmx,us_bci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,USA.M.BCICP.IX._Z.AA.IX._Z.H,USA,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}",Validated OECD business confidence key for the United States.
us_cci_oecd_sdmx,us_cci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,USA.M.CCICP.IX._Z.AA.IX._Z.H,USA,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}",Validated OECD consumer confidence key for the United States.
chn_cli_oecd_sdmx,chn_cli,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,CHN.M.LI.IX._Z.AA.IX._Z.H,CHN,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local leading indicator via validated OECD CLI key. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
chn_bci_oecd_sdmx,chn_bci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,CHN.M.BCICP.IX._Z.AA.IX._Z.H,CHN,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 business-confidence indicator via validated OECD CLI-family key. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
chn_cci_oecd_sdmx,chn_cci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,CHN.M.CCICP.IX._Z.AA.IX._Z.H,CHN,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 consumer-confidence indicator via validated OECD CLI-family key. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
chn_headline_cpi_oecd_sdmx,chn_headline_cpi,inflation_now,oecd_sdmx,DSD_PRICES@DF_PRICES_ALL,CHN.M.N.CPI.IX._T.N._Z,CHN,monthly,nsa,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.TPS""}","Tier 1 inflation block uses headline CPI where validated in OECD. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
chn_short_term_rate_oecd_sdmx,chn_short_term_rate,growth_now,oecd_sdmx,DSD_STES@DF_FINMARK,CHN.M.IR3TIB.PA._Z._Z._Z._Z.N,CHN,monthly,nsa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local-rates block uses validated OECD FINMARK short-rate keys. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
chn_long_term_yield_oecd_sdmx,chn_long_term_yield,growth_now,oecd_sdmx,DSD_STES@DF_FINMARK,CHN.M.IRLT.PA._Z._Z._Z._Z.N,CHN,monthly,nsa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local-rates block uses validated OECD FINMARK long-yield keys. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
chn_real_gdp_growth_oecd_sdmx,chn_real_gdp_growth,growth_now,oecd_sdmx,DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD,Q.Y.CHN.S1.S1.B1GQ._Z._Z._Z.PC.L.G1.T0102,CHN,quarterly,sa,percent,retrieval_snapshot,quarterly,2000-01-01,120,1,1,1,"{""agency_id"":""OECD.SDD.NAD""}","Tier 1 context block uses validated OECD real GDP growth where available. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
chn_fx_usd_fred_alfred,chn_fx_usd,external_shock,fred_alfred,fred,DEXCHUS,CHN,daily,nsa,chinese yuan renminbi per u.s. dollar,none,daily,2000-01-01,30,1,1,1,{},"Tier 1 external-shock block uses a FRED H.10 spot FX proxy versus USD. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
chn_neer_fred_alfred,chn_neer,external_shock,fred_alfred,fred,NBCNBIS,CHN,monthly,nsa,index 2020=100,none,monthly,2000-01-01,60,1,1,1,{},"Tier 1 external-shock block uses a BIS nominal effective exchange-rate series carried in FRED. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
chn_reer_fred_alfred,chn_reer,external_shock,fred_alfred,fred,RBCNBIS,CHN,monthly,nsa,index 2020=100,none,monthly,2000-01-01,60,1,1,1,{},"Tier 1 external-shock block uses a BIS real effective exchange-rate series carried in FRED. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and do not require core CPI or labor symmetry in v1."
hkg_fx_usd_fred_alfred,hkg_fx_usd,external_shock,fred_alfred,fred,DEXHKUS,HKG,daily,nsa,hong kong dollars per u.s. dollar,none,daily,2000-01-01,30,1,1,1,{},Tier 1 external-shock block uses a FRED H.10 spot FX proxy versus USD. Country notes: Tier 1 partial-pack country. Use FRED H.10 spot FX plus BIS NEER and REER from FRED; do not require a full OECD local macro pack in v1.
hkg_neer_fred_alfred,hkg_neer,external_shock,fred_alfred,fred,NBHKBIS,HKG,monthly,nsa,index 2020=100,none,monthly,2000-01-01,60,1,1,1,{},Tier 1 external-shock block uses a BIS nominal effective exchange-rate series carried in FRED. Country notes: Tier 1 partial-pack country. Use FRED H.10 spot FX plus BIS NEER and REER from FRED; do not require a full OECD local macro pack in v1.
hkg_reer_fred_alfred,hkg_reer,external_shock,fred_alfred,fred,RBHKBIS,HKG,monthly,nsa,index 2020=100,none,monthly,2000-01-01,60,1,1,1,{},Tier 1 external-shock block uses a BIS real effective exchange-rate series carried in FRED. Country notes: Tier 1 partial-pack country. Use FRED H.10 spot FX plus BIS NEER and REER from FRED; do not require a full OECD local macro pack in v1.
ind_cli_oecd_sdmx,ind_cli,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,IND.M.LI.IX._Z.AA.IX._Z.H,IND,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local leading indicator via validated OECD CLI key. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_bci_oecd_sdmx,ind_bci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,IND.M.BCICP.IX._Z.AA.IX._Z.H,IND,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 business-confidence indicator via validated OECD CLI-family key. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_cci_oecd_sdmx,ind_cci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,IND.M.CCICP.IX._Z.AA.IX._Z.H,IND,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 consumer-confidence indicator via validated OECD CLI-family key. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_headline_cpi_oecd_sdmx,ind_headline_cpi,inflation_now,oecd_sdmx,DSD_PRICES@DF_PRICES_ALL,IND.M.N.CPI.IX._T.N._Z,IND,monthly,nsa,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.TPS""}","Tier 1 inflation block uses headline CPI where validated in OECD. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_industrial_production_oecd_sdmx,ind_industrial_production,growth_now,oecd_sdmx,DSD_KEI@DF_KEI,IND.M.PRVM.IX.BTE.Y._Z,IND,monthly,sa,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 hard-activity block uses OECD industrial production where validated. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_short_term_rate_oecd_sdmx,ind_short_term_rate,growth_now,oecd_sdmx,DSD_STES@DF_FINMARK,IND.M.IR3TIB.PA._Z._Z._Z._Z.N,IND,monthly,nsa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local-rates block uses validated OECD FINMARK short-rate keys. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_long_term_yield_oecd_sdmx,ind_long_term_yield,growth_now,oecd_sdmx,DSD_STES@DF_FINMARK,IND.M.IRLT.PA._Z._Z._Z._Z.N,IND,monthly,nsa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local-rates block uses validated OECD FINMARK long-yield keys. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_real_gdp_growth_oecd_sdmx,ind_real_gdp_growth,growth_now,oecd_sdmx,DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD,Q.Y.IND.S1.S1.B1GQ._Z._Z._Z.PC.L.G1.T0102,IND,quarterly,sa,percent,retrieval_snapshot,quarterly,2000-01-01,120,1,1,1,"{""agency_id"":""OECD.SDD.NAD""}","Tier 1 context block uses validated OECD real GDP growth where available. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_fx_usd_fred_alfred,ind_fx_usd,external_shock,fred_alfred,fred,DEXINUS,IND,daily,nsa,indian rupees per u.s. dollar,none,daily,2000-01-01,30,1,1,1,{},"Tier 1 external-shock block uses a FRED H.10 spot FX proxy versus USD. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_neer_fred_alfred,ind_neer,external_shock,fred_alfred,fred,NBINBIS,IND,monthly,nsa,index 2020=100,none,monthly,2000-01-01,60,1,1,1,{},"Tier 1 external-shock block uses a BIS nominal effective exchange-rate series carried in FRED. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
ind_reer_fred_alfred,ind_reer,external_shock,fred_alfred,fred,RBINBIS,IND,monthly,nsa,index 2020=100,none,monthly,2000-01-01,60,1,1,1,{},"Tier 1 external-shock block uses a BIS real effective exchange-rate series carried in FRED. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_cli_oecd_sdmx,bra_cli,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,BRA.M.LI.IX._Z.AA.IX._Z.H,BRA,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local leading indicator via validated OECD CLI key. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_bci_oecd_sdmx,bra_bci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,BRA.M.BCICP.IX._Z.AA.IX._Z.H,BRA,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 business-confidence indicator via validated OECD CLI-family key. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_cci_oecd_sdmx,bra_cci,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,BRA.M.CCICP.IX._Z.AA.IX._Z.H,BRA,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 consumer-confidence indicator via validated OECD CLI-family key. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_headline_cpi_oecd_sdmx,bra_headline_cpi,inflation_now,oecd_sdmx,DSD_PRICES@DF_PRICES_ALL,BRA.M.N.CPI.IX._T.N._Z,BRA,monthly,nsa,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.TPS""}","Tier 1 inflation block uses headline CPI where validated in OECD. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_industrial_production_oecd_sdmx,bra_industrial_production,growth_now,oecd_sdmx,DSD_KEI@DF_KEI,BRA.M.PRVM.IX.BTE.Y._Z,BRA,monthly,sa,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 hard-activity block uses OECD industrial production where validated. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_short_term_rate_oecd_sdmx,bra_short_term_rate,growth_now,oecd_sdmx,DSD_STES@DF_FINMARK,BRA.M.IRSTCI.PA._Z._Z._Z._Z.N,BRA,monthly,nsa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local-rates block uses validated OECD FINMARK short-rate keys. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_long_term_yield_oecd_sdmx,bra_long_term_yield,growth_now,oecd_sdmx,DSD_STES@DF_FINMARK,BRA.M.IRLT.PA._Z._Z._Z._Z.N,BRA,monthly,nsa,percent,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local-rates block uses validated OECD FINMARK long-yield keys. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_real_gdp_growth_oecd_sdmx,bra_real_gdp_growth,growth_now,oecd_sdmx,DSD_NAMAIN1@DF_QNA_EXPENDITURE_GROWTH_OECD,Q.Y.BRA.S1.S1.B1GQ._Z._Z._Z.PC.L.G1.T0102,BRA,quarterly,sa,percent,retrieval_snapshot,quarterly,2000-01-01,120,1,1,1,"{""agency_id"":""OECD.SDD.NAD""}","Tier 1 context block uses validated OECD real GDP growth where available. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_fx_usd_fred_alfred,bra_fx_usd,external_shock,fred_alfred,fred,DEXBZUS,BRA,daily,nsa,brazilian reais per u.s. dollar,none,daily,2000-01-01,30,1,1,1,{},"Tier 1 external-shock block uses a FRED H.10 spot FX proxy versus USD. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_neer_fred_alfred,bra_neer,external_shock,fred_alfred,fred,NBBRBIS,BRA,monthly,nsa,index 2020=100,none,monthly,2000-01-01,60,1,1,1,{},"Tier 1 external-shock block uses a BIS nominal effective exchange-rate series carried in FRED. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
bra_reer_fred_alfred,bra_reer,external_shock,fred_alfred,fred,RBBRBIS,BRA,monthly,nsa,index 2020=100,none,monthly,2000-01-01,60,1,1,1,{},"Tier 1 external-shock block uses a BIS real effective exchange-rate series carried in FRED. Country notes: Tier 1 fallback country. Keep validated OECD local macro rows, use FRED H.10 spot FX plus BIS NEER and REER from FRED, and treat missing core CPI or labor rows as non-blocking in v1."
deu_cli_oecd_sdmx,deu_cli,growth_lead,oecd_sdmx,DSD_STES@DF_CLI,DEU.M.LI.IX._Z.AA.IX._Z.H,DEU,monthly,amplitude_adjusted,index,retrieval_snapshot,monthly,2000-01-01,60,1,1,1,"{""agency_id"":""OECD.SDD.STES""}","Tier 1 local leading indicator via validated OECD CLI key. Country notes: Tier 1 full-pack country. Use the euro spot rate for the USD leg and Germany BIS effective rates for competitiveness, with the full validated OECD local macro pack."
